,CNV_MIRLET7A1,CNV_RUNX1T1,CNV_MIR19B2,CNV_MIR23A,CNV_MIR29B2,CNV_MIR494,CNV_MIR449C,CNV_MIR92A1,CNV_FOXM1,CNV_MIR148A,CNV_MIR449A,CNV_MIR151A,CNV_MIR21,CNV_MIR125A,CNV_STAT1,CNV_AR,CNV_MIR196B,CNV_MIR17,CNV_ETS2,CNV_MIR222,CNV_MIR184,CNV_MIR373,CNV_JUN,CNV_POU2F1,CNV_MIRLET7E,CNV_MIR655,CNV_PPARA,CNV_MIR135B,CNV_ATF3,CNV_MIR92A2,CNV_MIR29A,CNV_MAZ,CNV_MIRLET7G,CNV_MIR455,CNV_MIRLET7C,CNV_PPARD,CNV_MIR590,CNV_MIR16-1,CNV_MYB,CNV_LEF1,CNV_MIRLET7I,CNV_MIR30D,CNV_MIR429,CNV_TCF7L2,CNV_MIR34C,CNV_MYBL2,CNV_MIR34A,CNV_RARB,CNV_SMAD3,CNV_HOXB4,CNV_MIR20A,CNV_STAT3,CNV_TFAP2A,CNV_ESR1,CNV_MIRLET7B,CNV_POU2F2,CNV_WT1,CNV_ETS1,CNV_MIR30A,CNV_RELA,CNV_NFIC,CNV_E2F1,CNV_MIR24-2,CNV_MIR371A,CNV_SP1,CNV_MYC,CNV_MIR223,CNV_MIR19B1,CNV_TP53,CNV_MIR155,CNV_MIR26A2,CNV_MIR29B1,CNV_NFKB1,CNV_MIR19A,CNV_MIR196A1,CNV_MIR26A1,CNV_MIR106B,MIRLET7A1,RUNX1T1,MIR19B2,MIR23A,MIR29B2,MIR494,MIR449C,MIR92A1,FOXM1,MIR148A,MIR449A,MIR151A,MIR21,MIR125A,STAT1,AR,MIR196B,MIR17,ETS2,MIR222,MIR184,MIR373,JUN,POU2F1,MIRLET7E,MIR655,PPARA,MIR135B,ATF3,MIR92A2,MIR29A,MAZ,MIRLET7G,MIR455,MIRLET7C,PPARD,MIR590,MIR16-1,MYB,LEF1,MIRLET7I,MIR30D,MIR429,TCF7L2,MIR34C,MYBL2,MIR34A,RARB,SMAD3,HOXB4,MIR20A,STAT3,TFAP2A,ESR1,MIRLET7B,POU2F2,WT1,ETS1,MIR30A,RELA,NFIC,E2F1,MIR24-2,MIR371A,SP1,MYC,MIR223,MIR19B1,TP53,MIR155,MIR26A2,MIR29B1,NFKB1,MIR19A,MIR196A1,MIR26A1,MIR106B
216-1,0.5,1.5,1.0,1.0,1.5,1.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.5,1.0,1.5,0.5,1.5,1.5,1.0,1.0,1.5,1.0,0.5,1.0,1.5,1.0,1.0,0.5,1.0,1.0,1.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.5,0.5,0.5,1.0,1.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20114.705963,0.365586158897,95.796194,2127.972738,338.779247,5.4883239999999995,0.0,3010.594959,3.47904262731,123923.852005,14.968155,1483.344185,137413.15351600002,2440.3082440000003,124.10465383200001,28.582292056700002,519.893926,414.118962,7.71176469985,47.399158,6.486201,0.0,40.9319652084,2.3642849817099996,3370.3296240000004,2.494693,0.583625764965,5.4883239999999995,5.03530584282,2718.216993,4604.204554999999,19.2489050267,930.02138,375.201758,3270.541922,11.8064331941,12.473463,351.751648,20.228108670799998,3.93350629198,446.54996500000004,4641.126004,90.30787,7.913597535560001,5.4883239999999995,8.77515213907,103.280271,0.786752622586,3.6023744215499995,3.36582968667,110.764349,43.6564972735,35.2580745829,26.904524970500002,13317.167726,0.707189463557,0.426894232037,7.34576299578,41733.711529,20.7412042996,14.390301176700001,3.0893665609200003,818.758092,0.0,18.360854731,17.7768839912,97.791948,91.804686,43.6583851601,534.862081,1346.1360949999998,302.855675,12.0296508375,8.481955000000001,969.4375220000001,1348.131849,289.384335
217-1,1.0,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,9067.314535,0.9294619757279999,38.626463,3125.77222,292.669737,3.9616879999999997,63.387016,2893.023021,3.6500615664699994,47871.062886,1225.152166,3466.972641,215166.234925,1503.955994,87.9546277294,7.94721774512,260.976229,307.030858,9.010072425689998,40.112096,652.192968,0.0,78.4379925739,3.1529814646700003,1606.464683,1.485633,0.69227613125,2.476055,3.49405597935,2752.3830789999997,3950.298637,14.7272667907,643.77438,198.57963600000002,1831.2905050000002,13.1925236605,33.674352,380.322095,12.1367203104,4.41464126884,715.579984,6350.586652,255.03369700000002,7.822356686799999,60.415749,9.03002763204,112.90812199999999,1.3884462740399999,3.97290521336,1.28228036125,86.661936,16.942949655,9.4712218873,3.76938390385,29206.557981,1.76984057707,0.046033341779199995,17.517788923,11206.131109,15.8741817253,12.0637200551,4.74871714507,827.992895,0.0,15.2983892393,3.05639300773,124.79318700000002,48.035472999999996,8.76551549713,783.423899,969.128047,247.11032000000003,6.1628984777,17.827598000000002,587.320319,979.0322679999999,762.6250349999999
218-1,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14566.044328999998,0.646733102747,57.971934999999995,2692.915512,392.30323300000003,3.176544,0.0,4097.742271,12.0041589179,45193.491261,8.735497,2124.314065,157031.67808900002,1578.742565,47.382213933,32.6462854462,294.62449300000003,496.335062,13.4054807373,49.236438,2.3824080000000003,0.794136,113.992029817,2.53197414542,1208.675143,3.97068,1.16992571534,3.97068,19.8457172365,3573.612446,4651.255132,32.1644573421,644.0443759999999,347.831611,3981.004265,23.4364205169,9.529633,321.62512000000004,8.23288102753,2.96772995001,591.631394,5276.240242,107.208373,8.917984772919999,17.470994,22.603785594699996,123.885231,1.94668643152,5.4815935411800005,0.7210395013959999,194.563344,35.7336109304,16.2120389828,17.577204813399998,30158.906633,0.9718580807799999,1.38115705081,19.1640653442,52856.11048,18.0589947367,24.2821386394,13.803101055199999,602.7492990000001,0.0,25.8183689684,32.9006981915,118.326279,70.678113,27.2114897406,578.925216,829.078087,304.15412599999996,16.907524842,30.177172,1834.454389,811.607093,479.658204
219-1,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,16684.266959,0.171216923177,41.592882,2651.270184,138.397555,2.944629,0.0,2466.126646,10.071689093,33809.860163,0.0,2074.491012,296724.726159,651.13105,300.25892251,0.201097985891,212.38135400000002,256.550787,4.23065333005,25.397423999999997,3.312707,0.0,38.5900171193,2.8665399962700002,904.001051,5.1531,5.1320709652900005,2.944629,12.1443352327,2355.7030649999997,4152.294731,15.184927918800001,464.88327699999996,152.38454199999998,8190.117015999999,12.0480045884,6.625414999999999,194.713581,1.27289102197,2.1193777977,616.8997400000001,9704.024314,42.697117999999996,7.985694092080001,8.465808,24.353247243000002,98.276987,15.1408304808,8.26397049171,2.61887348418,149.80799199999998,56.9970467425,4.264231414049999,2.37467461564,54940.14857899999,2.13591992122,0.144884092229,33.497785794,132939.68553599998,18.9474982321,27.7882263685,11.9462056792,492.121093,0.0,19.1026171355,18.5596666981,64.413756,46.377904,11.913455221300001,142.44642,797.258256,120.361703,19.1810653424,12.146594,80.609214,820.815287,310.658342
220-1,0.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.5,1.0,1.0,0.5,1.0,1.0,1.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,11718.521168000001,0.0712565906405,153.389838,2233.016893,963.50401,1.541606,1.541606,1419.048706,8.59272363033,173065.361029,13.103655,765.4075849999999,181343.016677,403.13007799999997,25.2762384351,30.5002750329,55.497831000000005,604.309715,5.3115254682,8.478835,1.541606,0.0,19.2282594482,3.3212091272000004,776.1988299999999,0.0,0.6308892248899999,0.0,0.924014755303,1288.782963,2685.478376,29.2439557664,1075.270475,54.727028000000004,309.092086,11.3185605324,40.081767,497.16806900000006,27.9130022954,2.2540740233900003,427.79578,7209.322402,934.984291,1.73359865917,6.166426,16.3150272685,271.322729,2.8328046328099994,1.7493605461099997,6.11874873711,288.2804,15.9807317175,19.7233423484,34.001396082199996,21226.378736000002,0.22558035019900002,0.8386470963320001,2.51246483126,39737.217769999996,9.83894967609,33.504351241,6.1515331908099995,182.68036,0.0,21.782090338000003,12.919430111199999,115.62048100000001,198.096424,24.956099087,225.07453700000002,336.070199,886.4236890000001,9.17590134129,72.455502,868.6952150000001,316.800118,346.09064
221-1,1.0,1.0,1.0,0.5,1.5,1.0,1.0,1.0,1.0,1.5,1.0,3.0,1.0,1.0,1.5,1.0,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,0.5,1.0,1.5,1.0,1.5,1.0,0.5,1.0,1.5,2.5,0.5,1.0,0.5,1.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.5,1.5,0.5,1.0,1.0,2.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,0.5,1.0,9930.155932,0.329432999485,17.426786,3053.421812,361.605804,3.111926,0.0,2355.1056129999997,4.88728537568,19456.383867,0.0,5294.008546999999,248922.962404,1241.0360970000002,65.7796272302,5.39094803487,305.591135,243.975,6.98376342141,44.811735,23.650638,0.0,18.7675839423,2.01908501804,1728.986097,1.867156,1.13764819607,1.867156,4.30101566409,2225.64949,2936.413393,21.0812518747,342.934247,415.13093100000003,3564.400064,8.024587703589999,28.629719,534.006505,7.15805136882,2.9538825634599997,292.521046,31452.858676999997,153.10676,2.4641479127,12.447704,14.4264753728,104.560714,0.9941018321680001,3.39980575898,1.48532084967,61.616135,31.804426020799998,6.82879792172,26.2402854546,52177.041206,0.283802785639,0.183967343964,11.8277376388,12685.455231,13.9494418178,11.8623488229,11.390243970699998,672.798406,0.0,14.0968131169,14.2411354545,18.049170999999998,33.608801,12.722186153900001,252.066008,974.032845,303.101594,7.34864410296,6.223852,465.544133,931.0882650000001,545.831824
222-1,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.5,1.0,2.0,1.0,0.5,0.5,1.5,0.5,1.0,1.0,1.0,0.5,2.0,1.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.5,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.5,1.0,1.0,6685.33711,0.379608598192,124.48924099999999,4946.902249,503.25437800000003,6.180317,1.7658049999999998,8114.756125,45.7899946437,30499.864032999998,30.901584999999997,1989.179148,279815.614659,1364.084236,32.2416086131,7.43250754742,640.104253,1201.630191,4.78205081544,84.75863199999999,2.648707,0.0,9.13906449084,5.16094231393,2555.119598,0.0,0.954864904431,4.414512,2.89966470755,7339.567802,2684.0233510000003,26.3449703287,793.729274,593.310425,2648.707254,26.9062094387,56.50575500000001,1559.2056699999998,13.3758299626,3.3895545119099997,867.010175,7630.042697,125.372143,4.9453923583599995,106.831193,52.891019542799995,197.770142,0.6902554811139999,13.5502385364,1.80520711659,375.233528,18.2364488951,15.5189067132,201.91104014799998,17590.947778,0.373197222302,0.133249109368,8.85680737914,22580.229343,21.1669900248,12.8445478619,36.6413673276,1250.189824,0.0,26.5237798464,24.6142444185,60.037364000000004,142.147289,37.9475937718,225.140117,1346.4261880000001,398.188991,5.630425064470001,101.533778,29.13578,1317.290408,1203.3959960000002
223-1,1.0,1.5,1.0,0.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,0.5,1.5,1.5,1.0,1.0,1.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,3.0,1.0,1.0,0.5,1.5,1.0,1.0,1.0,1.5,1.0,1.5,1.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.5,0.5,1.0,1.0,3.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,17269.279393,0.161101542569,134.8504,1852.0859670000002,1271.597134,0.526759,0.0,7607.985672,19.6480812325,12234.513273999999,0.526759,6011.378003,215529.393173,1624.525917,93.74380436,13.195229106600001,76.38011,1571.8499789999998,8.91390038095,23.177413,2.107038,0.0,65.2639074217,4.9224575667,2224.5048460000003,1.580278,0.378420837068,0.526759,5.294998669180001,6765.697429000001,3129.477455,49.909404351599996,1108.301728,49.515381,1719.8693640000001,5.621377678230001,24.757691,465.128529,4.89066914493,1.06601936383,683.206911,30941.845765,162.241888,0.875028099594,11.061947,25.901442602,160.13485,0.597514949756,8.601374308139999,2.38603043241,535.714286,45.0840056489,24.2494885579,69.71085671770001,36536.557101,0.233713075556,0.183646936574,8.18341154663,15565.739569999998,15.6471303107,11.9051285748,20.8850252925,543.088917,0.0,21.8015850804,98.87380734540001,73.219553,164.348925,10.8336057658,252.84450099999998,943.4260429999999,976.611884,10.001469393999999,63.737885,3950.695322,921.828909,524.125579
224-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7919.058629000001,1.4351481483300002,39.514238,2240.153356,250.256843,2.0263709999999997,0.0,1140.846983,3.14319522048,36884.008486,0.0,720.37496,324198.114259,552.186151,50.0317427611,10.2201519385,273.560111,342.456732,23.4580182146,50.659279999999995,44.580166,0.0,115.67441791899999,1.9962465745700002,705.177176,4.052741999999999,0.761979389106,4.052741999999999,24.009036448000003,994.948257,3334.393801,9.61157259598,478.22360199999997,94.226261,4167.232362,9.08101282766,24.316454,273.560111,7.52261037008,10.545898182,786.232024,4422.555132,51.672465,9.518243032,23.303269,4.25287574869,113.47678700000002,2.09403243767,6.29075786651,2.27116161993,117.52952900000001,35.5228961745,6.896480644389999,21.3424686432,34220.343551,1.67563661509,1.17811505946,44.4324122402,87182.594282,14.2279103185,16.849111888699998,2.39872453558,415.406095,0.0,18.541897140899998,16.504341955799998,165.149252,36.474682,21.9335783771,705.177176,510.64554100000004,199.59756299999998,13.5739146426,34.44831,23.303269,549.146594,148.938283
225-1,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,12569.297258,0.343599603319,21.574489,5845.823524,153.610361,3.451918,58.68261,2833.161888,5.1048702053,59256.491332000005,517.787735,3025.6063289999997,154838.381188,1106.3397929999999,16.1809336063,37.3967808985,326.206273,232.14150099999998,8.800025928270001,32.793223,739.573481,0.0,31.1972407037,2.97236834642,1592.197284,4.314898,0.286819716441,0.0,3.12981646103,2573.405041,2443.958108,7.21715667954,566.977569,408.189331,2728.741362,11.5532906402,17.259591,470.32385899999997,6.086323030599999,4.07267983896,354.684598,6290.257996,89.749874,6.994012057110001,18.98555,17.1639150771,109.598404,0.656758146484,2.2524122930400003,0.904777432678,63.860487,24.946725087399997,23.8986498602,14.1836473578,47809.930477999995,0.669215323054,1.20336875554,11.223557669200002,10586.170235,12.0731770923,25.115397165900003,5.2681170794800005,1272.031868,0.0,15.3036048381,1.8359784839099997,35.382162,30.204285,28.751296244699997,276.153458,1051.109101,122.543097,5.11033266526,6.903836,869.883394,1064.916774,887.142985
226-1,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12920.332947,0.715904631557,28.282958,3918.725585,208.679499,1.377073,0.0,2933.482933,2.9804086679500004,44283.272781,0.0,1632.784672,247071.548679,1103.247201,69.71445640489999,20.3631727556,380.072104,249.67389900000003,17.395330921,28.388886,345.00971,0.0,100.650039336,3.08548952108,1154.410754,2.542288,1.14014929414,2.648217,19.3549265561,2785.818353,3713.8595179999998,25.6629534188,602.4164030000001,205.289782,3886.2054799999996,8.62312515642,9.639510000000001,186.328548,17.835727536,7.272588882639999,519.686104,2844.185056,54.235484,4.32552237463,10.063225,3.3198263353099997,186.858191,0.662589385419,10.2581742667,1.4003712343099999,89.82752099999999,41.0676511471,10.417540814,20.8509000687,29027.636157,1.1154788718200002,1.51973875,19.7031233122,79598.09387699999,16.941005326400003,32.4414943279,2.3767524846900003,521.486891,0.0,27.436174431799998,31.1183626823,99.996674,25.105097,24.560065963899998,297.23587599999996,735.462825,147.24086499999999,23.0925017796,7.309079,394.584333,728.047817,355.07293500000003
227-1,1.0,1.5,1.0,0.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,0.5,1.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,3291.289803,2.16967223917,131.334407,1730.640565,288.440094,6.938422,0.0,5524.470326,13.621834353699999,126722.834841,0.49560200000000004,3283.85578,134127.121794,1384.710693,81.6020314556,24.7462352594,186.841779,1087.845372,14.7471926573,24.780077,15.859248999999998,0.0,25.0086715437,4.87333967469,661.628051,5.947218,0.603403122301,9.416428999999999,2.54946475611,4889.6047579999995,1966.546896,25.566391020799998,262.668814,200.718622,1107.173832,17.0095569814,39.152521,203.19663,14.311689317599999,1.7827441115400002,301.325734,8429.686532,265.14682200000004,6.83403848235,4.956015,14.4305200772,237.88873700000002,1.55497608213,7.47269766383,0.204019042698,305.290546,26.084209099200002,36.427902421599995,0.673126525078,4103.085120000001,0.570376218706,0.08153259184179999,8.29597176835,14801.139884,18.7144637105,10.5888791638,4.52649675435,435.63375,0.0,23.2774569836,1.80386638633,44.604138,144.71564899999998,4.56423603883,283.97968,380.62198,222.52508999999998,11.044386201300002,85.243464,1264.279519,383.099988,966.4229960000001
228-1,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,8498.881651,0.226197624349,110.910619,7097.56864,593.656197,1.421931,0.0,4689.528472999999,20.9249831765,66650.88323200001,0.710966,2710.911472,384325.20131,725.1848150000001,118.058912292,0.30068996628899997,142.193101,1077.8237060000001,10.7753692241,102.37903299999999,1.421931,0.0,42.0183230883,2.63281457747,842.494124,0.710966,4.36319296767,371.123994,5.946175187690001,4216.736411999999,10327.484931,19.3859009982,885.8630199999999,1290.402392,872.354675,10.923766136700001,39.814068,1003.883294,1.6219835971,4.34837118894,579.436887,6954.664573999999,385.343304,10.718433942799999,12.086414,32.8679203714,54.74434399999999,12.592490188900001,18.0901405305,0.25942556354,337.708615,39.967876003,11.639061045999998,0.1438689775,44865.478217,1.80055269595,0.0836368337599,35.1921790463,17393.771088999998,22.0140442789,17.0987064196,11.7735467298,2143.560999,0.0,18.091510103,54.8991173492,157.123377,142.193101,39.3203338249,906.481019,1362.920874,585.1246110000001,10.9589783047,86.737792,190.538755,1343.724805,1268.3624619999998
229-1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,2.0,1.5,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14881.482903,0.271269570069,46.408836,2059.871088,216.71649100000002,0.283846,2.6965380000000003,5569.202245,9.743057195650001,35699.181047000005,82.45729,1641.6238720000001,431321.593081,483.10604800000004,42.5981482105,29.947884488299998,42.86076,646.1756280000001,4.343279342830001,11.921536,33.06807,0.0,40.4686398563,3.4132568226899997,1047.959771,1.135384,0.8974548922519999,0.283846,4.9399427179,5085.102735,3809.498399,40.2324238169,300.02531899999997,19.727303,1227.6343470000002,9.01409717472,6.52846,94.09497900000001,37.2533007515,33.142031522399996,236.15994799999999,5466.44996,91.682288,3.1479412059900005,7.096152,8.702739818889999,125.459973,1.12555714949,15.505407713,0.43868925764600003,335.080311,41.0514824882,14.6083567574,67.7782951638,23354.998359,0.645183290562,0.0277725752127,7.56684881266,98791.07111,14.9147050209,28.3873674682,9.02954246686,311.52108599999997,0.0,29.424751629699998,40.2005071393,56.201526,57.336911,42.259441734,197.982649,591.677178,180.242268,17.6771493262,19.585379999999997,7.947691000000001,596.6444849999999,374.676841
230-1,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7382.199625,0.688443525071,26.105837,3095.090289,524.3290910000001,1.769887,0.0,2065.015922,6.37044256271,32093.807563,0.44247200000000003,1397.768438,229303.934327,889.810803,93.968365456,16.130200057899998,193.802651,218.13860099999997,22.348778535799998,43.362237,26.105837,0.44247200000000003,64.1037536982,3.24532070546,841.581377,2.654831,0.8382603601299999,5.752133000000001,9.83001089895,1893.336861,3463.226832,23.4303274594,364.15429700000004,149.55547099999998,1483.165496,14.1478309618,9.73438,454.861017,12.2941720677,15.2131025222,365.039241,4940.197722999999,69.025602,6.971677801699999,3.982246,34.7125081992,61.946053000000006,2.6881247403299997,8.97295490805,1.06735933764,77.875038,27.376694082800004,12.8710172199,19.9693038124,39714.05702,1.7233373937099998,0.103620450173,42.8011892833,164161.465042,29.420106682800004,31.728978014699997,8.85414598527,495.56842400000005,0.0,20.5922211157,45.8712643898,138.051204,32.742914,23.2261053175,657.070633,765.476226,444.684166,12.344161189600001,12.831682,1205.735674,790.254647,597.3369389999999
