11-1	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	8.61949174109	19.823468	17.734334345	0.0930958100633	0.37638228696	7.01867237348	9.54910186273	63.50851899999999	102.421253	908.942734
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
12-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.42938259366	64.46911999999999	8.29812370145	0.154401699132	0.272907297321	36.6113095703	31.9419368257	36.485271	150.900247	142.398825
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
13-1	0.5	0.5	0.5	1.5	1.0	1.0	1.0	1.0	0.5	1.0	5.05495119603	24.481895	5.3865122336	0.137572061523	36.7264416919	41.6459990515	10.1049390024	26.04457	36.983289	2042.415144
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
14-1	0.5	1.0	0.5	0.5	1.0	2.5	1.0	1.0	1.0	1.0	8.27863717053	15.999857	5.20158529624	0.0191819562635	60.5080979138	347.37615721	15.448234618599999	22.186468	54.826175	360.530103
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
15-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.001167058150001	6.580224	4.55428513315	0.0460681621465	25.4025830774	86.6682010935	2.90641584029	21.385729	15.902209	420.037661
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
16-1	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	8.31192505982	10.445964	4.55471678246	0.0356383975807	0.995166415311	83.198574646	19.010780165699998	76.777838	41.783857	3789.273562
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
17-1	1.5	0.5	1.5	0.5	1.0	1.5	1.0	1.0	0.5	1.0	2.45105638196	18.783212	2.7013831292400003	0.006636871856850001	67.09727412779999	229.70245879400002	9.602996974360002	12.326483	31.109695	540.017339
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
18-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	19.5672730712	29.221991	7.876018977669999	0.0388959500128	112.351217637	164.861164032	4.15645660716	12.784621	54.791232	155.763646
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
19-1	1.0	1.0	1.0	1.0	1.5	0.5	0.5	1.0	1.0	1.0	6.359794721699999	159.587807	4.6453616691300015	0.150205536896	2.7190684173400004	15.9598967868	8.856707773710001	94.166719	186.35098	782.07938
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
20-1	1.5	0.5	1.5	1.0	1.0	1.0	1.0	1.0	0.5	1.0	14.35672905	39.573813	4.600443476140001	0.0436163019941	56.7685382662	198.961914685	12.068557343499998	45.005513	84.579326	928.820677
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
21-1	1.0	1.0	1.0	1.0	0.5	1.0	1.5	1.0	1.0	1.0	16.455805408	11.133776	20.9097396843	0.0269755456762	6.995353786960001	23.328982181700002	5.842234658910002	15.623201000000002	49.742837	458.998883
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
22-1	1.0	1.5	1.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	6.25073207918	57.118508	2.2727360428	0.0299155474135	1.30979389363	8.6640650536	14.1848596296	35.413475	117.664127	408.96852
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
23-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.768036719269999	12.616523	9.02939015817	0.024900505691800003	49.8939294229	67.5923216549	0.947582038725	19.275244	103.03494	407.934251
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
24-1	1.5	0.5	1.5	1.0	0.5	1.0	1.5	1.0	0.5	1.0	6.426376500269999	16.051952	5.6964842972800005	0.0251278141177	87.53242070530001	103.290957943	2.07688441556	8.374932000000001	49.900635	189.133875
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
