LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
A101D	3	3	3	2	3	2	10.131857	12.700771	9.675516	5.33485426933163	9.584756	3.87676249078156	10.131857	12.700771	9.675516	5.33485426933163	9.584756	3.87676249078156
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
A172	2	2	2	2	2	2	12.876937	8.585075	6.9584947	6.42105494692424	6.631686	4.65477921695952	12.876937	8.585075	6.9584947	6.42105494692424	6.631686	4.65477921695952
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
A204	2	2	2	2	2	2	11.256503	11.835454	8.813396	5.8250223640447	9.036146	5.8814199080924	11.256503	11.835454	8.813396	5.8250223640447	9.036146	5.8814199080924
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
A2058	3	3	3	3	3	3	11.842452	13.264087	9.98288	5.2349610948395	9.995923	4.56437816856506	11.842452	13.264087	9.98288	5.2349610948395	9.995923	4.56437816856506
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
A253	3	3	3	3	3	4	10.486484	12.464947	9.491793	5.8011586560937	8.796331	6.03452387533439	10.486484	12.464947	9.491793	5.8011586560937	8.796331	6.03452387533439
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
A2780	2	2	2	2	2	2	9.425342	14.13738	10.712596	4.94906796585291	11.360216	6.85561602278684	9.425342	14.13738	10.712596	4.94906796585291	11.360216	6.85561602278684
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
A375	3	4	4	3	4	3	10.7101	13.349589	9.856939	5.20828313841252	10.488533	3.29572302453997	10.7101	13.349589	9.856939	5.20828313841252	10.488533	3.29572302453997
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
A3KAW	3	2	2	2	2	2	11.670081	15.912806	11.558177	6.56376827845203	13.334192	8.83485024090306	11.670081	15.912806	11.558177	6.56376827845203	13.334192	8.83485024090306
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
A498	4	3	3	4	3	5	11.351469	11.452659	8.319401	5.67609812091222	8.707048	5.84549005094438	11.351469	11.452659	8.319401	5.67609812091222	8.707048	5.84549005094438
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
A4FUK	2	2	2	2	2	2	9.431706	14.809955	11.857192	4.603477988254	11.129045	8.20667252452209	9.431706	14.809955	11.857192	4.603477988254	11.129045	8.20667252452209
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
A549	4	2	2	4	2	4	12.450325	12.44937	9.374648	6.31994302415705	9.100794	6.18308946064076	12.450325	12.44937	9.374648	6.31994302415705	9.100794	6.18308946064076
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
A673	2	2	2	1	2	3	9.695402	13.764512	10.586333	4.65706830120158	10.523866	6.83516615722045	9.695402	13.764512	10.586333	4.65706830120158	10.523866	6.83516615722045
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
A704	2	2	2	2	2	2	13.817216	13.827592	10.436347	4.28835856219366	9.893847	5.73795710621359	13.817216	13.827592	10.436347	4.28835856219366	9.893847	5.73795710621359
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
ABC1	2	1	1	2	1	4	10.12531	10.753852	7.946848	4.81915722367497	8.509498	4.79753183957196	10.12531	10.753852	7.946848	4.81915722367497	8.509498	4.79753183957196
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
ACCMESO1	1	1	1	1	1	1	11.51396	12.238336	9.408436	5.93899143877554	8.413586	5.22149045504206	11.51396	12.238336	9.408436	5.93899143877554	8.413586	5.22149045504206
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
ACHN	1	1	1	1	1	1	12.223812	12.224521	8.635246	5.61559285651096	9.049141	6.56696732900612	12.223812	12.224521	8.635246	5.61559285651096	9.049141	6.56696732900612
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
AGS	2	2	2	2	2	2	12.410364	12.511946	9.123397	6.17012536183995	10.024184	6.05571626351254	12.410364	12.511946	9.123397	6.17012536183995	10.024184	6.05571626351254
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
ALLSIL	3	2	2	2	2	3	9.959611	14.609336	10.99361	5.72519581722666	9.986197	8.4507576221245	9.959611	14.609336	10.99361	5.72519581722666	9.986197	8.4507576221245
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
AM38	2	1	1	2	1	2	10.905538	12.833208	10.007434	5.22110372536788	9.552208	7.58225490835766	10.905538	12.833208	10.007434	5.22110372536788	9.552208	7.58225490835766
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
AML193	3	3	3	3	3	3	9.8712435	16.263006	12.4319105	5.63865311646611	12.131599	8.22824149703314	9.8712435	16.263006	12.4319105	5.63865311646611	12.131599	8.22824149703314
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
AMO1	3	2	2	2	2	2	12.886504	14.930474	11.755318	4.46074256378964	11.52903	9.02502879449152	12.886504	14.930474	11.755318	4.46074256378964	11.52903	9.02502879449152
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
AN3CA	2	2	2	2	2	2	11.117909	14.158139	10.648717	5.5197934862411	10.488975	5.27761287075669	11.117909	14.158139	10.648717	5.5197934862411	10.488975	5.27761287075669
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
ASPC1	2	2	2	2	2	4	13.951912	13.756022	10.625042	4.41481206056585	10.008471	6.11207455130967	13.951912	13.756022	10.625042	4.41481206056585	10.008471	6.11207455130967
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
AU565	2	3	3	2	3	3	8.992542	12.318292	9.246646	7.43571192661765	8.874736	6.67341508722384	8.992542	12.318292	9.246646	7.43571192661765	8.874736	6.67341508722384
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BC3C	3	3	3	3	3	5	12.366497	12.654115	9.520186	5.12639473762014	9.405545	6.87319800281828	12.366497	12.654115	9.520186	5.12639473762014	9.405545	6.87319800281828
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BCP1	2	2	2	2	2	1	11.028362	13.815782	10.55502	5.04264433740849	10.848482	7.25974326369078	11.028362	13.815782	10.55502	5.04264433740849	10.848482	7.25974326369078
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BCPAP	4	2	2	4	2	3	12.773222	11.546905	8.530641	5.27351588970212	8.782802	3.01792190799726	12.773222	11.546905	8.530641	5.27351588970212	8.782802	3.01792190799726
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BDCM	2	2	2	2	2	2	10.057166	13.749897	9.963113	4.92267359284945	10.048038	6.89457527317528	10.057166	13.749897	9.963113	4.92267359284945	10.048038	6.89457527317528
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BEN	6	2	2	3	2	5	11.723883	14.051076	10.847621	4.99503219247754	9.931536	5.9429835981871	11.723883	14.051076	10.847621	4.99503219247754	9.931536	5.9429835981871
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BFTC905	3	3	3	3	3	7	11.710772	14.499636	11.638852	5.70873904135958	10.304043	9.43912442405066	11.710772	14.499636	11.638852	5.70873904135958	10.304043	9.43912442405066
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BFTC909	2	2	2	2	2	3	10.772182	12.739582	9.157701	5.72846476509253	9.499587	6.1101961777542	10.772182	12.739582	9.157701	5.72846476509253	9.499587	6.1101961777542
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BHT101	4	3	3	4	3	7	12.918887	13.289929	9.782556	5.17990909001494	9.837612	8.84483127891195	12.918887	13.289929	9.782556	5.17990909001494	9.837612	8.84483127891195
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BHY	3	4	4	3	4	3	11.240982	12.92002	9.5724535	6.26472407423801	8.98014	7.03364324351038	11.240982	12.92002	9.5724535	6.26472407423801	8.98014	7.03364324351038
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BICR16	2	2	2	2	2	5	9.187698	10.930434	8.658462	4.76394266044725	6.88472	6.70085582016029	9.187698	10.930434	8.658462	4.76394266044725	6.88472	6.70085582016029
