Line,ks_PLAUR,ka_JUND,ka_FOXP2,ka_TFAP2C,ka_FOSL1,ks_TFAP2C,kd_PLAUR,kr_MIR335,kr_MIR16-2,ks_FOXP2,kd_JUND,kd_MIR335,kd_TFAP2C,kd_MIR16-2,kd_FOSL1,kd_FOXP2,ks_MIR335,ks_JUND,ks_FOSL1,ks_MIR16-2
22RV1,0.641728,0.191751,1.03098,1.10682,0.961483,0.0954807,0.376383,0.361252,0.260409,0.267819,0.135371,0.459929,0.694387,0.568792,0.779789,0.686759,0.539786,1.04759,0.111628,0.424669
2313287,0.572011,0.532102,0.959457,0.828719,0.760121,0.470568,0.434452,0.362742,0.338676,0.345455,0.146453,0.384681,0.512039,0.572447,0.624312,0.618155,0.622069,1.13879,0.342962,0.422052
42MGBA,0.545944,0.615497,0.806261,0.664287,0.666934,0.599616,0.456936,0.36353,0.394567,0.0112441,0.133831,0.395384,0.428898,0.569211,0.54856,0.787153,0.602621,1.27092,0.435231,0.421812
5637,0.562728,0.778863,0.751507,0.860422,0.717033,0.73586,0.442449,0.388821,0.347665,0.00379498,0.162832,0.486613,0.346394,0.580382,0.451983,0.793083,0.505561,1.04964,0.538549,0.421889
59M,0.555561,0.625822,0.953154,0.797803,0.653726,0.21335,0.448618,0.342506,0.373136,0.0322891,0.137742,0.379545,0.637793,0.566817,0.524633,0.757171,0.633925,1.26656,0.457684,0.428351
639V,0.556767,0.557299,0.834415,0.835746,0.668094,0.0278496,0.447446,0.336939,0.392262,0.00574319,0.164832,0.382619,0.791302,0.650531,0.552585,0.800149,0.618907,1.05207,0.441171,0.319036
647V,0.530068,0.59912,1.0001e-06,0.535759,0.614972,0.343396,0.460136,0.308235,0.3762,0.189793,0.127069,0.415202,0.19056,0.616291,0.577312,1.00284,0.618435,0.97355,0.419118,0.307902
697,0.689011,0.494701,1.40498,1.39549,1.09628,0.0125236,0.349047,0.305212,0.143184,0.0247029,0.138787,0.382597,0.876725,0.56994,0.894382,0.873148,0.629818,1.03266,0.0844506,0.425083
769P,0.525814,0.677223,0.637295,0.636958,0.581453,0.027147,0.475062,0.367526,0.451847,0.129875,0.159423,0.390647,0.771338,0.564505,0.525921,0.836988,0.601643,1.27897,0.460031,0.42527
786O,0.575199,0.607087,0.866702,0.89867,0.773223,0.102891,0.430111,0.410553,0.377192,0.44334,0.111104,0.474041,1.22996,0.576041,0.507832,0.55093,0.524315,0.960006,0.494182,0.419743
8305C,0.577495,0.636546,1.02708,0.255512,0.744613,0.0358774,0.425055,0.258839,0.326268,0.369571,0.174503,0.255051,0.714881,0.563064,0.482357,0.524309,0.793227,1.06915,0.472703,0.419516
8505C,0.540867,0.61764,0.0593288,0.579886,0.712504,0.358002,0.44729,0.2329,0.366595,1e-06,0.163973,0.259427,0.384555,0.546963,0.4442,98.515,0.771644,0.947376,0.480534,0.396857
8MGBA,0.569646,0.435575,0.96598,0.827731,0.685557,0.0828054,0.436524,0.321593,0.371556,0.131587,0.128923,0.391151,0.771651,0.646855,0.630563,0.738957,0.617978,1.2495,0.350597,0.316253
A101D,0.539328,0.606173,0.603489,0.623002,0.637284,0.676908,0.460558,0.413084,0.351484,0.0326372,0.163446,0.606673,0.394866,0.572292,0.494037,0.798469,0.372594,1.1293,0.502214,0.420754
A172,0.583551,0.654103,1.10106,1.04158,0.760268,0.428301,0.424317,0.33267,0.308749,0.00574789,0.140177,0.393579,0.538823,0.568436,0.553967,0.800804,0.607365,1.20439,0.408506,0.428983
A204,0.517115,0.635103,0.580197,0.572948,0.559728,0.615683,0.483022,0.402271,0.540851,0.0280578,0.083156,0.387051,0.388061,0.564538,0.504968,0.797218,0.594791,0.947426,0.331624,0.416272
A2058,0.545951,0.701915,0.700666,0.744542,0.664012,0.648312,0.456739,0.417087,0.40265,0.00763225,0.115707,0.497893,0.393076,0.572466,0.531897,0.80145,0.502282,0.940981,0.470022,0.420636
A253,0.53265,0.433462,0.658814,0.653514,0.594577,0.586517,0.468173,0.324376,0.448411,0.326719,0.156029,0.261522,0.420915,0.650577,0.593869,0.642276,0.840654,1.12126,0.385658,0.338462
A2780,0.627006,0.454264,1.203,1.2112,0.934014,0.0170718,0.391857,0.322273,0.230147,0.461373,0.124137,0.386888,0.80066,0.573702,0.856736,0.538454,0.625969,1.17658,0.098524,0.422176
A375,0.525773,0.561784,0.654791,0.603874,0.587444,0.673464,0.47506,0.394315,0.437748,0.0170769,0.162723,0.370097,0.342431,0.574069,0.524625,0.800899,0.639432,1.07582,0.469928,0.418832
A3KAW,0.564714,0.459145,0.0106565,1e-06,0.596039,0.0494808,0.577724,0.385708,0.505069,0.481523,0.0985264,0.410296,1.40592,0.683723,0.822179,0.818691,0.630114,1.00949,0.433301,0.35184
A498,0.54522,0.726021,0.660135,0.700686,0.690473,0.522932,0.457403,0.399892,0.403898,0.135139,0.119474,0.486573,0.547363,0.570325,0.442806,0.785671,0.511149,0.928893,0.605092,0.424345
A4FUK,0.537608,0.327315,0.648594,0.667067,0.630605,0.01104,0.463936,0.439407,0.364053,0.547428,0.092977,0.477455,0.77286,0.574013,0.654762,0.457797,0.521855,1.10596,0.349361,0.425642
A549,0.496218,0.444189,0.5813,0.707345,0.411686,0.647448,0.500628,0.368608,0.351534,0.00726331,0.0861069,0.404785,0.363164,0.582582,0.531101,0.508472,0.616628,0.879246,0.552656,0.427046
A673,0.612978,0.495851,1.11059,1.11053,0.875209,0.0167251,0.401161,0.331497,0.247773,0.0167377,0.124075,0.38295,0.784401,0.57639,0.723756,0.78499,0.629794,1.21528,0.25225,0.417518
A704,0.508661,0.41131,0.529948,0.519266,0.533202,0.0184113,0.491358,0.445271,0.475699,0.396414,0.146927,0.487292,0.784691,0.573564,0.542398,0.59249,0.51288,1.12665,0.447777,0.418915
ABC1,0.515954,0.318194,0.576062,0.556018,0.56498,0.692026,0.483243,0.380204,0.468899,0.643266,0.107344,0.382755,0.345277,0.685709,0.838486,0.374178,0.628196,1.19819,0.0699541,0.254355
ACCMESO1,0.564323,0.582135,0.887827,0.792866,0.709844,0.379941,0.440953,0.372037,0.351738,0.0113908,0.123392,0.354963,0.595344,0.570426,0.556079,0.797421,0.643052,1.09134,0.432357,0.424071
ACHN,0.540442,0.56809,0.665196,0.713487,0.646241,0.373124,0.461421,0.394789,0.407262,0.257779,0.123483,0.491214,0.611514,0.569513,0.519308,0.679854,0.507046,1.16263,0.462118,0.421698
AGS,0.533305,0.437949,0.629804,0.597561,0.592919,0.00633303,0.466764,0.408403,0.468896,1e-06,0.138817,0.371039,0.665021,0.573373,0.590569,115.868,0.615517,1.32609,0.397166,0.426947
ALLSIL,0.629494,0.404475,1.08121,1.0844,0.933106,0.00573409,0.383811,0.3329,0.256948,1e-06,0.125727,0.402063,0.798882,0.576327,0.858486,266.657,0.609803,1.18784,0.105023,0.415925
AM38,0.534994,0.673355,1e-06,0.556561,0.66934,0.363199,0.46151,0.352397,0.321532,0.0563177,0.152989,0.392526,0.196418,0.552335,0.425938,0.905952,0.61935,1.04219,0.505123,0.408797
AML193,0.632223,0.474153,1.37631,1.40513,0.963509,0.0816034,0.389988,0.30054,0.274674,0.0115167,0.152315,0.390342,0.809422,0.651197,0.710705,0.80623,0.615602,1.19249,0.239092,0.313563
AMO1,0.546227,0.153964,0.619459,0.586394,0.635793,0.0299187,0.451686,0.319801,0.397565,0.133039,0.14857,0.385938,0.711806,0.569402,0.735351,0.74711,0.60405,1.17205,0.21473,0.423543
AN3CA,0.476315,0.572136,0.458066,0.341877,0.34838,0.330555,0.367695,0.425622,1e-06,0.527783,0.0322558,258.198,0.110891,0.578281,1.15121,0.417327,0.541817,0.627276,0.767408,0.42013
ASPC1,0.449898,0.582671,0.590339,0.570574,0.945059,0.841532,0.816284,0.399012,0.473619,0.522557,0.0211366,0.525295,0.111824,0.568694,1.1562,0.371635,0.434253,0.307004,0.754301,0.432216
AU565,0.493128,0.578666,0.592099,0.178899,0.868767,0.729618,0.888081,0.192111,0.0547991,0.504074,0.586044,0.767763,0.0980419,0.753651,1.09506,0.426903,0.447702,0.320265,0.419643,0.428337
BC3C,0.237056,0.691269,0.522348,0.428488,0.00238955,0.737509,0.500408,0.465453,0.189115,0.890157,0.617024,0.791983,0.125475,0.535116,1.01496,0.283068,0.467043,0.449541,0.404205,0.332813
BCPAP,0.216638,0.548651,0.584446,0.575137,1.23239,0.746075,0.747352,0.414926,0.0272599,0.73354,0.0530934,0.954174,0.106803,0.604026,0.907424,0.29063,0.421653,0.330112,0.846239,0.407095
BDCM,0.375981,0.578024,0.624518,0.407942,0.938045,0.943845,0.931387,0.229349,0.0057974,0.59268,0.0171381,0.807702,0.160141,0.728097,1.05088,0.351801,0.403178,0.275038,0.803768,0.417436
BECKER,0.46187,0.60794,0.5234,0.627619,0.000312162,0.693602,0.608822,0.495298,0.321428,0.488565,0.599084,0.985778,0.177513,0.490009,0.834972,0.368109,0.433107,0.372067,0.280655,0.303661
BEN,0.401047,0.57866,0.518412,0.266081,0.543101,0.50001,0.550076,0.403294,0.292488,0.614884,0.0146334,0.65911,0.0664478,0.613254,1.25397,0.456611,0.481591,0.461546,0.775846,0.411683
BFTC905,0.336682,0.753895,0.565818,0.41461,6.6179e-06,0.762014,0.544721,0.373448,0.00561709,0.52878,0.533086,0.782581,0.127371,0.704796,0.819321,0.175022,0.352189,0.232801,0.272963,0.371083
BFTC909,0.452981,0.715604,0.58031,0.675267,0.850351,0.876185,0.780551,0.473741,0.179579,0.514912,0.478458,0.696048,0.13897,0.501535,1.0694,0.341624,0.433858,0.352058,0.519421,0.359255
BHT101,0.470672,0.58084,0.541545,0.436062,0.680195,0.748316,0.620095,0.373359,0.471186,0.530994,0.337682,0.526501,0.134213,0.61398,1.42155,0.38011,0.460363,0.382231,0.619116,0.420363
BHY,0.389783,0.569942,0.571949,0.509111,1.04506,0.788346,0.710148,0.395528,0.0113196,0.61727,0.515537,0.792434,0.158054,0.603622,1.1414,0.365294,0.434159,0.337205,0.488354,0.421216
BICR16,0.384904,0.695608,0.569193,0.468698,0.955604,0.820826,0.69561,0.39573,0.0275301,0.623756,0.527985,0.782223,0.165579,0.595641,1.11296,0.340896,0.436463,0.373128,0.475993,0.345135
BICR22,0.387152,0.790519,0.552092,0.371363,0.414625,0.479214,0.631668,0.339748,1e-06,0.588059,0.530592,217.288,0.190112,0.667248,0.980699,0.165516,0.432076,0.390839,0.464633,0.192993
BICR31,0.392242,0.680186,0.526782,0.334914,0.644311,0.609806,0.576377,0.367158,0.337711,0.617236,0.595237,0.626991,0.115636,0.624019,1.19956,0.358715,0.473821,0.447904,0.414076,0.335047
BICR56,0.388285,0.672995,0.560127,0.467213,0.861139,0.7792,0.713359,0.389715,0.140075,0.606641,0.464842,0.740138,0.118334,0.593591,0.964217,0.349611,0.444468,0.387267,0.530721,0.333733
BICR6,0.386647,0.675685,0.562803,0.503431,0.857596,0.777811,0.72037,0.392113,0.0114345,0.6191,0.398397,0.800479,0.165462,0.587463,1.07582,0.354821,0.442367,0.390306,0.587137,0.34767
BL41,0.534398,0.691654,0.266622,0.269144,0.00113648,1.52808e-05,0.0011208,0.158755,1e-06,0.554538,0.017623,435.688,0.0910481,1.40584,1.06832,0.758656,0.605223,0.697805,0.826509,0.337008
BL70,0.476367,0.595202,0.353786,8.76887e-05,0.272377,0.107336,0.13455,0.207887,1e-06,0.517123,0.0540391,305.248,0.114168,0.80603,1.07879,0.551249,0.589868,0.752693,0.786003,0.453051
BT20,0.497654,0.590985,0.493592,0.411105,0.468494,0.478589,0.480882,0.35832,1e-06,0.501914,0.615873,243.966,0.148023,0.62398,1.07393,0.455198,0.504238,0.510208,0.384858,0.424676
BT474,0.523201,0.744502,0.451221,1e-06,0.285424,0.450835,0.2661,0.101017,0.342722,0.497778,0.295744,0.642877,0.0670731,0.850924,1.40019,0.481381,0.592456,0.691266,0.696684,0.378084
BT483,0.494948,0.697752,0.472574,0.245222,0.395241,0.421647,0.491801,0.202646,0.00743796,0.505204,0.70711,0.781048,0.121115,0.764458,1.15325,0.373654,0.52734,0.565929,0.33464,0.348653
BT549,0.377917,0.583243,0.545374,0.599587,0.755933,0.746333,0.644626,0.433505,0.129392,0.638901,0.620954,0.726631,0.135684,0.54853,1.31219,0.358599,0.457368,0.393503,0.392975,0.423124
BV173,0.374799,0.570846,0.613664,0.487917,0.909707,0.915997,0.878373,0.300874,1e-06,0.601351,0.0170295,220.67,0.1833,0.665303,1.02706,0.354612,0.403573,0.267328,0.798675,0.423495
BXPC3,0.380124,0.587397,0.546318,0.608062,0.762861,0.674819,0.63891,0.460833,0.179206,0.630368,0.0113173,0.708476,0.148167,0.517979,1.20155,0.383015,0.456751,0.395124,0.796161,0.422747
C2BBE1,0.479398,0.569113,0.51363,0.371045,0.543906,0.54489,0.558086,0.413165,0.0111778,0.52103,0.490127,0.786354,0.130247,0.571611,1.19274,0.438727,0.48654,0.461253,0.509621,0.423923
CA46,0.472715,0.596845,0.563349,0.0167655,0.62948,0.743166,0.669839,0.183474,0.00381543,0.530653,0.0751106,0.797356,0.13326,0.74324,1.31251,0.31481,0.436922,0.31077,0.794679,0.439859
CADOES1,0.406169,0.585918,0.602259,0.345395,1.12495,1.06094,0.97262,0.0702057,1e-06,0.627015,0.449144,212.463,0.121829,0.839068,1.31318,0.357491,0.423532,0.305586,0.526895,0.430664
CAKI1,0.508771,0.564449,0.539279,0.680941,0.679613,0.680526,0.647222,0.404314,0.0264621,0.531853,0.139229,0.813294,0.135481,0.581077,1.27091,0.390793,0.453753,0.359516,0.765039,0.430639
CAKI2,0.372037,0.594742,0.482463,0.556791,0.382674,0.413336,0.465029,0.549564,0.616558,0.557888,0.475014,0.401391,0.128804,0.370363,1.40276,0.460621,0.512599,0.53109,0.523019,0.443289
CAL120,0.338347,0.677869,0.543164,0.418761,0.766174,0.675101,0.61232,0.429162,0.254378,0.685922,0.0256826,0.687648,0.104471,0.567417,1.0996,0.333352,0.459322,0.426503,0.789337,0.344234
CAL12T,0.390056,0.572822,0.530834,0.639111,1.32674e-05,0.374914,0.664983,0.465902,0.00829369,0.585677,0.559382,1.15549,0.138632,0.516535,0.988925,0.322173,0.424322,0.372213,0.380059,0.292965
CAL148,0.488675,0.567517,0.552046,0.210265,0.659497,0.663596,0.666858,0.116015,1e-06,0.511664,0.643246,86.248,0.103904,0.809125,1.15187,0.411106,0.457437,0.373694,0.375828,0.427272
CAL27,0.382177,0.666398,0.545362,0.29739,0.486578,0.669815,0.609399,0.361935,0.160231,0.629886,0.571429,0.740166,0.136398,0.651214,0.899246,0.323276,0.450276,0.404529,0.428186,0.322872
CAL29,0.379816,0.734356,0.540049,0.413044,0.731651,0.629784,0.630453,0.366875,0.0430901,0.635255,0.547767,0.77618,0.0790936,0.62188,1.40662,0.352249,0.461682,0.422561,0.454465,0.360712
CAL33,0.392661,0.649803,0.529975,0.433017,0.661599,0.594922,0.619169,0.373742,0.0635077,0.622406,0.528024,0.776859,0.134883,0.604091,1.15737,0.37903,0.472541,0.445809,0.473,0.346266
