Line,ks_PLAUR,ka_JUND,ka_FOXP2,ka_TFAP2C,ka_FOSL1,ks_TFAP2C,kd_PLAUR,kr_MIR335,kr_MIR16-2,ks_FOXP2,kd_JUND,kd_MIR335,kd_TFAP2C,kd_MIR16-2,kd_FOSL1,kd_FOXP2,ks_MIR335,ks_JUND,ks_FOSL1,ks_MIR16-2
KYSE450,0.457048,0.416426,0.240536,0.223133,0.389834,0.520904,0.576796,0.129752,0.394177,1.18576,0.401496,0.479405,0.619409,0.416333,0.317961,0.464565,0.646367,0.532251,0.544616,0.588553
KYSE510,0.52324,0.427459,0.630602,0.588345,0.584962,0.612203,0.755974,0.115874,0.397,1.20083,0.402946,0.400049,0.613632,0.121685,0.420257,0.37311,0.572741,0.620897,0.477494,0.444335
KYSE520,0.541324,0.477079,0.828308,0.638167,0.606352,0.34487,0.801804,0.142076,0.398709,1.13018,0.380135,0.639523,0.61095,0.151568,0.417976,0.416868,0.571737,0.57588,0.461363,0.407283
KYSE70,0.547901,0.361862,0.682267,0.733063,0.653945,0.205885,0.770968,0.108197,0.400711,1.05339,0.423479,0.715732,0.607514,0.00553374,0.419068,0.359154,0.574145,0.635876,0.454432,0.383982
L1236,0.365484,0.142067,0.164322,0.20589,1.8587e-05,0.0099274,0.490848,0.108525,0.363388,1.0775,0.342406,0.694974,0.604058,0.496119,0.421289,0.473436,0.555994,0.529314,0.567736,0.661513
L33,0.540151,0.450282,0.116414,0.533,0.518529,0.409982,0.962698,0.12832,0.170905,0.860079,0.340135,0.494351,0.643903,0.644071,0.316574,0.376456,0.631544,0.708757,0.429644,0.370645
L363,0.539326,0.0329261,0.598942,0.612318,0.593933,0.0262689,0.941792,0.157305,0.470593,1.35142,0.476599,0.74639,0.532921,0.0787845,0.325803,0.141974,0.64957,0.74337,0.45834,0.443192
L428,0.50702,0.0191642,0.493094,0.443642,0.480191,0.0308914,1.10693,0.126523,0.479903,1.42571,0.548585,0.734946,0.520671,0.074398,0.417943,0.224581,0.576049,0.715512,0.522996,0.573496
L540,0.612438,0.42582,0.968332,1.15701,0.907644,0.0171412,0.799298,0.140663,0.46304,1.06105,0.3706,0.803916,0.537653,0.0260067,0.420909,0.280793,0.573148,0.706893,0.401733,0.197481
LAMA84,0.582875,0.404558,1.37825,0.837828,0.676808,0.00509254,0.802587,0.111938,0.244885,1.17748,0.31036,0.7095,0.792347,0.303788,0.435124,0.284696,0.580755,0.726009,0.431189,0.33888
LCLC103H,0.550124,0.615021,0.813097,0.796954,0.65373,0.530726,0.860563,0.121541,0.362307,1.23191,0.352207,0.457143,0.631032,0.0122928,0.42134,0.476576,0.571435,0.52902,0.453439,0.383667
LCLC97TM1,0.5462,0.622863,0.6771,0.675731,0.656434,0.478146,0.51346,0.128251,0.356447,1.24277,0.332952,0.496518,0.668516,0.509738,0.321102,0.435585,0.644719,0.546391,0.455287,0.4161
LI7,0.508833,0.458813,0.530227,0.547251,0.536613,0.0160993,0.538545,0.065792,0.376497,1.44213,0.426064,0.75505,0.630307,0.315412,0.41744,0.363358,0.575947,0.601474,0.490972,0.477532
LK2,0.493146,0.176445,0.454013,0.472645,0.47498,0.538761,0.678044,0.1036,0.367462,0.984771,0.499936,0.462916,0.647987,0.262402,0.319922,0.380579,0.644238,0.628764,0.506361,0.519457
LMSU,0.512569,0.64498,1e-06,0.344291,0.622246,0.270183,2.32107,0.0933631,0.412066,0.756943,0.315756,0.243372,0.6755,1.11815,0.379263,0.428949,0.511508,0.587956,0.418834,0.423551
LN18,0.536571,0.535906,0.648664,0.63438,0.652106,0.601221,0.785272,0.0849533,0.445163,1.55974,0.387668,0.425744,0.556961,0.0812338,0.420023,0.477233,0.572542,0.493889,0.466992,0.401199
LN229,0.532173,0.660933,0.660111,0.636466,0.624022,0.755898,219.992,0.114391,0.431986,1.26536,0.398194,0.340222,0.56359,1e-06,0.419216,0.487129,0.576047,0.494728,0.475373,0.427802
LNCAPCLONEFGC,0.567299,0.0272619,0.668198,0.684548,0.649236,0.648967,280.559,0.143949,0.39739,1.13756,0.197865,0.369017,0.622067,1e-06,0.434247,0.219729,0.560561,0.772825,0.465842,0.420186
LOUCY,0.65389,0.545227,1.25131,1.25772,1.01483,0.00639142,205.904,0.157118,0.366299,1.12107,0.252257,0.890462,0.650319,1e-06,0.425384,0.0767078,0.568835,0.880464,0.378983,0.241439
LOUNH91,0.568613,0.776196,0.764892,0.84805,0.760218,0.482646,0.93792,0.104251,0.540623,0.872291,0.392458,0.834294,0.460816,0.0700294,0.428569,0.448982,0.573137,0.52493,0.421076,0.234878
LOVO,0.541146,0.515804,0.668034,0.700097,0.638274,0.593791,0.577259,0.564252,0.789896,0.618521,0.416977,0.415888,0.0223476,1.24745,0.402722,0.108167,0.361371,0.463783,0.396235,0.415968
LOXIMVI,0.565267,0.694386,0.944373,0.99808,0.699231,0.615048,0.572497,0.500862,0.807892,0.620697,0.389643,0.455907,0.0115404,1.23547,0.346304,0.142596,0.386349,0.439921,0.350138,0.426891
LP1,0.457988,0.00556318,0.37172,0.336312,0.27992,0.528483,0.703433,0.803734,0.848569,0.608254,0.468026,0.230865,0.0276098,1.55602,0.376035,0.0698536,0.397346,0.553043,0.617259,0.348264
LS1034,0.560767,0.584486,0.853329,0.770761,0.69367,0.611519,0.577227,0.587023,0.681984,0.760129,0.393263,0.392432,0.238611,1.28032,0.350371,0.133497,0.0162076,0.4443,0.360495,0.430685
LS123,0.49531,0.480246,0.411003,0.479768,0.499736,0.784436,0.674384,0.508832,0.388504,97.3379,0.234618,0.455408,0.614932,1.01706,0.352885,0.157487,1e-06,0.503047,0.506788,0.34848
LS180,0.533746,0.547537,0.683214,0.681766,0.60878,0.61121,0.576852,0.568945,0.629145,0.546541,0.395598,0.425093,0.327987,1.27633,0.371903,0.143981,0.443499,0.467797,0.420138,0.426599
LS411N,0.548924,0.4889,0.679215,0.773638,0.663711,0.54432,0.566287,0.584855,0.636937,0.793564,0.457146,0.384239,0.327567,1.24447,0.395121,0.113469,0.0112803,0.453955,0.36723,0.427299
LS513,0.572924,0.415793,0.757902,0.909449,0.739911,0.509706,0.569934,0.621172,0.726734,351.354,0.489674,0.376418,0.205519,1.02759,0.413362,0.1005,1e-06,0.433351,0.296357,0.424815
LU65,0.559317,0.58851,0.757184,0.858847,0.704657,0.519611,0.577124,0.612988,0.574856,0.78359,0.477382,0.361221,0.444355,1.21686,0.393673,0.135759,0.0460549,0.444831,0.334307,0.427196
LU99,0.531995,0.704902,0.430372,0.558431,0.638632,0.694029,0.57218,0.310386,0.530121,0.602675,0.222543,0.657712,0.448359,0.952934,0.286562,0.158021,0.260934,0.464238,0.430026,0.41731
LUDLU1,0.5148,0.426931,0.542306,0.528154,0.522287,0.527061,0.750481,0.486978,0.410509,0.795882,0.463452,0.499435,0.601122,1.22082,0.366803,0.0851416,0.0600913,0.47751,0.456545,0.273354
LXF289,0.437068,0.501263,1e-06,1e-06,0.513861,0.699131,0.454285,0.50497,1.19101,0.944687,0.436514,0.465501,0.785974,1.21192,0.356116,0.121949,0.262536,0.440109,0.364896,0.331769
M059K,0.574877,0.676411,1.00094,0.849558,0.733017,0.618349,0.578387,0.521951,0.794394,0.785762,0.390355,0.462575,0.0149832,1.1351,0.359034,0.136692,0.00563992,0.431354,0.324177,0.417983
M07E,0.589219,0.495151,0.96985,0.96985,0.786352,0.623675,0.576599,0.649676,0.80096,0.80096,0.382056,0.329258,0.0114414,1.07839,0.356074,0.111743,0.0114414,0.419412,0.285363,0.418898
MALME3M,0.523155,0.73308,0.152881,0.445896,0.746411,0.455053,0.441756,0.497303,0.384843,332.868,0.5753,0.581358,0.617352,1.11569,0.371824,0.12712,1e-06,0.414509,0.208611,0.326995
MC116,0.680213,0.0255604,0.658325,0.811628,0.799031,0.522493,0.735421,0.788203,0.875565,0.94391,0.513969,0.121625,0.0062845,0.87748,0.363764,0.118761,0.0045167,0.399117,0.295791,0.364015
MCAS,0.567924,0.663433,0.912119,0.935614,0.709526,0.621184,0.572712,0.521695,0.56152,0.785862,0.383594,0.467099,0.425636,1.08681,0.36133,0.136057,0.00564064,0.43748,0.342877,0.424117
MCF7,0.510126,1e-06,0.551874,0.53942,0.513426,0.617968,0.56834,0.733657,0.472548,0.731603,0.398219,0.15004,0.527291,0.760602,0.54955,0.0585461,0.154454,0.441667,0.363483,0.416642
MDAMB157,0.587956,0.402461,0.936504,0.760455,0.796806,0.599721,0.662799,0.555649,0.539685,0.811005,0.397382,0.432717,0.458918,0.907071,0.271312,0.155142,0.00582111,0.421605,0.346148,0.327639
MDAMB175VII,0.550461,0.180137,0.64362,0.653989,0.655334,0.522158,0.5714,0.770496,0.378177,0.780566,0.477833,0.261905,0.635891,1.00878,0.503855,0.0910573,0.0746432,0.452224,0.363358,0.42255
MDAMB231,0.461074,0.350712,1.02529,0.818367,0.357099,0.728898,0.663281,0.332768,0.581311,0.662398,0.4398,0.500061,0.396481,1.398,0.429376,0.135482,0.136264,0.520126,0.539321,0.497797
MDAMB361,0.516447,0.629952,0.58512,0.556545,0.566682,0.565066,0.57608,0.581225,0.385488,0.751669,0.358869,0.408919,0.610227,1.18515,0.37965,0.120912,0.0614484,0.484857,0.4839,0.425251
MDAMB415,0.572261,0.223819,0.815279,0.760325,0.775303,0.637824,0.740447,0.651991,0.423898,0.759549,0.382803,0.314401,0.58171,1.40253,0.379914,0.0664687,0.113423,0.459545,0.422016,0.373648
MDAMB435S,0.520089,0.473433,0.208295,0.49738,0.556989,0.333445,0.706393,0.47255,0.331886,0.766122,0.5735,0.509056,0.688339,1.19972,0.382274,0.149793,0.00549895,0.460453,0.393673,0.342566
MDAMB436,0.596628,0.462173,1.18298,1.07532,0.749873,0.628589,0.406866,0.590712,0.33546,0.632017,0.383746,0.411531,0.673927,1.04035,0.334628,0.171481,0.336076,0.414018,0.181262,0.608639
MDAMB453,0.44806,1e-06,0.311362,0.251989,0.356266,0.63805,0.575729,0.75874,0.335809,0.788816,0.404704,0.090588,0.715025,1.52941,0.42784,0.135467,0.00566184,0.541642,0.598908,0.414253
MDAMB468,0.518619,0.348662,0.604471,0.597246,0.546222,0.60791,0.574502,0.645503,0.287062,0.77144,0.38844,0.349616,0.766077,1.06097,0.423412,0.156512,0.0580739,0.485548,0.465554,0.434049
MDAPCA2B,0.465113,1.00004e-06,0.342164,0.292472,0.365881,0.685557,0.586105,0.635134,0.333643,0.79256,0.414657,0.333326,0.696301,1.58538,0.421191,0.14065,0.00568871,0.524446,0.560391,0.424174
MDST8,0.569282,0.722056,0.820126,0.82644,0.761041,0.505972,0.622021,0.537356,0.503114,0.788748,0.454886,0.473143,0.496988,1.10175,0.387644,0.102251,0.08464,0.454424,0.365804,0.460725
ME1,0.584717,0.431677,0.830937,0.73571,0.788205,0.624799,0.566148,0.658041,0.798674,167.844,0.388358,0.313969,0.00382173,1.13374,0.37201,0.137992,1e-06,0.423239,0.312288,0.429166
MEC1,0.577808,0.15167,0.908033,0.954294,0.733074,0.967234,0.703967,0.768903,0.783299,0.724921,0.612354,0.300636,0.00562224,1.01392,0.547046,0.0939993,0.183365,0.48544,0.466548,0.51298
MEG01,0.480598,0.413001,0.351658,0.346415,0.447068,0.646245,0.552577,0.649973,216.154,0.596887,0.394794,0.373141,1e-06,1.13004,0.406218,0.121359,0.375147,0.51085,0.533601,0.412974
MELHO,0.541053,0.644784,0.598703,0.614938,0.653599,0.426901,0.696899,0.408108,0.458598,0.78123,0.55461,0.596858,0.538967,1.10015,0.384233,0.166498,0.0344372,0.458415,0.388502,0.354558
MELJUSO,0.534521,0.73896,0.69816,0.65303,0.616025,0.476281,0.905616,0.534806,0.360156,0.766717,0.477055,0.471647,0.624748,1.0673,0.404048,0.128048,0.0578893,0.493438,0.475155,0.440654
MESSA,0.605073,0.306596,1.10588,0.791948,0.786907,0.819216,0.574131,0.913495,0.797331,210.03,0.256603,0.0656979,0.00572296,1.0566,0.31675,0.106645,1e-06,0.402943,0.269709,0.418678
MEWO,0.554981,0.572762,0.833734,0.748668,0.68777,0.642082,0.667221,0.537365,0.571045,0.754984,0.338672,0.454618,0.419078,1.02312,0.347667,0.118338,0.112741,0.448735,0.398047,0.343292
MFE280,0.515226,0.288372,0.591862,0.548845,0.559409,0.616053,0.990678,0.818389,0.636646,0.756073,0.39831,0.220917,0.339162,1.11387,0.380722,0.112408,0.151418,0.47998,0.473608,0.380701
MFE296,0.534429,0.468103,0.679156,0.690128,0.609774,0.631132,0.573548,0.582435,0.474727,0.783837,0.381029,0.401678,0.527025,1.14487,0.392477,0.134176,0.0538902,0.467303,0.420666,0.428532
