,CNV_MIR335,CNV_JUND,CNV_FOXP2,CNV_TFAP2C,CNV_FOSL1,CNV_MIR16-2,CNV_PLAUR,MIR335,JUND,FOXP2,TFAP2C,FOSL1,MIR16-2,PLAUR,T0_MIR335,T0_JUND,T0_FOXP2,T0_TFAP2C,T0_FOSL1,T0_MIR16-2,T0_PLAUR
MV411,0.980507112001979,3,2,2,2,0.982071520893559,3,5.9541965,7.38223493275113,3.13586316536868,0.485426827170242,3.96162332828694,6.1354527,5.66249036391378,5.9541965,7.38223493275113,3.13586316536868,0.485426827170242,3.96162332828694,6.1354527,5.66249036391378
ACHN,1.64638301068704,1,2,1,1,0.869766471049515,1,5.89506,5.46597446450407,1.13750352374994,1.22032995487956,7.30615285211144,5.992542,5.26491169307446,5.89506,5.46597446450407,1.13750352374994,1.22032995487956,7.30615285211144,5.992542,5.26491169307446
TOV112D,0.868380960552611,1,1,1,1,0.865196659369112,1,5.82604,5.73822740036724,0.124328135002202,0.263034405833794,3.54225804976692,7.018033,2.4541758931858,5.82604,5.73822740036724,0.124328135002202,0.263034405833794,3.54225804976692,7.018033,2.4541758931858
NCIH929,1.01402976454135,2,2,3,2,0.982139595263392,2,6.0748906,4.95559179175399,2.19219416528334,2.58014548442338,2.26002565596146,6.936991,2.70708299177171,6.0748906,4.95559179175399,2.19219416528334,2.58014548442338,2.26002565596146,6.936991,2.70708299177171
TE617T,0.99937636208051,2,2,2,2,1.00027729731202,2,5.8361764,6.78907712686035,0.7311832415722,0.0840642647884745,3.0036022366802,5.9236245,1.51096191927738,5.8361764,6.78907712686035,0.7311832415722,0.0840642647884745,3.0036022366802,5.9236245,1.51096191927738
A673,1.03576735939731,2,2,2,3,1.04080514583424,2,5.931683,6.15886210620846,0.0426443374084937,0.0426443374084937,2.82578562746479,6.026579,5.1906148602095,5.931683,6.15886210620846,0.0426443374084937,0.0426443374084937,2.82578562746479,6.026579,5.1906148602095
KARPAS299,1.07676244645525,2,2,2,2,1.07378116188748,2,6.0254717,5.66078033403255,0.807354922057604,0.0143552929770701,4.79025073883523,5.987776,5.5765221379205,6.0254717,5.66078033403255,0.807354922057604,0.0143552929770701,4.79025073883523,5.987776,5.5765221379205
HT1080,1.00110965069616,2,2,2,2,1.39600102419437,2,6.188836,4.57833494868161,0.55581615506164,2.24184018356467,8.18651046187676,6.6715765,7.55865030163732,6.188836,4.57833494868161,0.55581615506164,2.24184018356467,8.18651046187676,6.6715765,7.55865030163732
D283MED,0.487610128960909,2,1,2,2,1.00982129064893,2,6.005625,6.14913740122799,0.823749360308273,2.6915341649192,2.20163386116965,6.6500463,4.26903314645524,6.005625,6.14913740122799,0.823749360308273,2.6915341649192,2.20163386116965,6.6500463,4.26903314645524
DOHH2,1.48236425658122,2,3,2,2,0.964932546777353,2,6.643856,6.25983740058951,0.0426443374084937,0.124328135002202,0.575312330687437,8.491853,0.55581615506164,6.643856,6.25983740058951,0.0426443374084937,0.124328135002202,0.575312330687437,8.491853,0.55581615506164
