LINE,ks_PLAUR,ka_JUND,ka_FOXP2,ka_TFAP2C,ka_FOSL1,ks_TFAP2C,kd_PLAUR,kr_MIR335,kr_MIR16-2,ks_FOXP2,kd_JUND,kd_MIR335,kd_TFAP2C,kd_MIR16-2,kd_FOSL1,kd_FOXP2,ks_MIR335,ks_JUND,ks_FOSL1,ks_MIR16-2,MIR335,JUND,FOXP2,TFAP2C,FOSL1,PLAUR
HCC70,0.52163,0.521372,2.06036e-06,0.933495,0.0342777,0.643281,0.411406,0.335756,0.334467,0.00677659,0.070161,0.501158,0.258989,0.390006,1.46157,1.41619,0.497157,0.585431,0.563575,0.198196,5.9521,5.5656,0.0143553,4.96763,3.00899,3.04912
HCC78,0.524731,0.610935,0.00289158,0.560077,0.563197,0.524472,0.418033,0.317342,0.343645,0.331015,0.101764,0.401645,0.308093,0.378148,0.808664,1.15073,0.645184,1.00642,0.414617,0.281004,6.42543,6.50843,0.575312,3.40463,7.65421,2.97243
HCC827,0.630074,0.530986,0.987134,1.0835,0.82892,0.491749,0.383518,0.272054,0.211804,0.0550338,0.109956,0.492381,0.483143,0.573879,0.578416,0.771052,0.502431,1.37983,0.432566,0.414988,6.12247,4.70764,0.214125,2.03562,7.85169,2.89251
HCT116,0.544034,0.61619,0.744491,0.762501,0.635511,0.475343,0.458639,0.370578,0.397663,0.159045,0.157834,0.387998,0.52245,0.568219,0.51495,0.717052,0.627749,1.21914,0.478931,0.436105,6.47168,4.54597,0.443607,1.81967,7.0706,3.06998
HCT15,0.534332,0.710871,0.0519344,0.544133,0.514112,0.537736,0.392342,0.315456,0.302208,0.339256,0.104091,0.420616,0.336574,0.28133,0.996128,1.22075,0.641542,0.734151,0.53342,0.208951,6.10098,4.82324,0.555816,3.19535,4.74308,2.97091
HDLM2,0.52529,0.32733,0.55335,0.516182,0.573075,0.0440952,0.479559,0.340332,0.464745,0.00565034,0.114158,0.397947,0.779294,0.667626,0.654981,0.787213,0.61612,1.15046,0.339634,0.336186,6.19298,6.48575,0.0143553,0.0565835,3.23879,3.02132
HDMYZ,0.570384,0.638004,0.790333,0.801378,0.759853,0.0971519,0.434235,0.365126,0.352496,0.332511,0.170007,0.487741,0.770004,0.705917,0.537403,0.637158,0.511047,1.02566,0.453245,0.344882,6.2867,5.49217,1.5656,0.378512,7.59738,2.93135
HDQP1,0.57942,0.437699,0.817815,0.82664,0.788489,0.503782,0.427108,0.334309,0.360916,0.0468522,0.140967,0.495343,0.495019,0.799796,0.649589,0.797154,0.504043,1.07066,0.359427,0.292575,6.10539,4.99503,0.176323,3.05311,3.52607,2.9265
HEC108,0.555505,0.562421,0.79031,0.825802,0.669876,0.339071,0.449144,0.352687,0.372958,0.00550423,0.146112,0.404522,0.617834,0.572191,0.603743,0.766857,0.609158,1.32937,0.38038,0.430823,6.02348,5.824,0.0143553,1.09761,5.3875,3.01174
HEC151,0.569932,0.636108,0.8713,0.8713,0.700026,0.00565557,0.436754,0.360166,0.342804,0.00565557,0.160945,0.385331,0.787942,0.572822,0.531351,0.787942,0.62647,1.15792,0.470758,0.426036,6.50319,4.30524,0.0143553,0.0143553,6.62454,2.975
HEC1A,0.500329,0.540161,0.496877,0.470603,0.516928,0.446995,0.499009,0.389488,0.493702,0.20178,0.129484,0.379095,0.543075,0.681904,0.534391,0.713512,0.630603,1.22028,0.454373,0.342349,6.65378,5.24793,0.565597,1.64616,6.52105,3.01229
HEC1B,0.448382,0.411677,0.298802,0.317266,0.379236,0.0112012,0.554341,0.43758,0.62111,0.116238,0.110489,0.392012,0.784143,0.681008,0.528755,0.749098,0.623369,1.24934,0.465001,0.336197,6.36072,5.97751,0.31034,0.0285692,6.08704,2.96205
HEC251,0.53541,0.50361,0.624228,0.60057,0.614886,0.3678,0.465152,0.31285,0.442272,0.00572217,0.152541,0.406737,0.605869,0.846925,0.585973,0.797221,0.601248,1.18516,0.411908,0.319226,5.91289,5.45253,0.0143553,1.21412,5.26641,3.01539
HEC265,0.578817,0.703098,1.01688,0.963873,0.74947,0.544264,0.427853,0.348596,0.321396,1e-06,0.161032,0.401682,0.465923,0.57264,0.502798,158.526,0.606739,1.10091,0.477012,0.420974,6.04199,4.4019,1.26162e-08,2.33628,7.7699,2.94059
HEC50B,0.560288,0.619627,0.843908,0.760766,0.687954,0.432381,0.446827,0.391421,0.342438,0.220746,0.18022,0.498033,0.570404,0.593049,0.542213,0.709358,0.499188,1.13708,0.465699,0.432998,6.01391,3.76235,0.933573,3.0321,8.5835,2.92048
HEC59,0.483126,0.456372,0.359356,0.346581,0.461694,0.334034,0.526268,0.427666,0.603008,0.0401681,0.156828,0.388045,0.649511,0.547038,0.55615,0.823026,0.629097,1.98837,0.358204,0.418808,6.48478,6.72014,0.0976108,1.02857,5.23879,3.06237
HEC6,0.539456,0.645176,0.272258,0.669377,0.622332,0.543813,0.463267,0.34299,0.443623,0.00654881,0.10813,0.3846,0.386289,0.614823,0.640548,0.912389,0.626652,1.09532,0.508824,0.4593,6.51743,6.26172,0.0143553,2.81558,8.00697,2.98818
HEL,0.533907,0.454567,0.686454,0.671566,0.607085,0.0169136,0.46767,0.36317,0.419766,0.457055,0.105105,0.372536,0.793241,0.562226,0.639219,0.534789,0.64689,1.28783,0.366696,0.435218,6.94579,6.95687,1.70929,0.0426443,4.77558,3.09639
HEL9217,0.530474,0.431953,0.655024,0.651527,0.600283,0.00572602,0.4708,0.386757,0.42835,0.569834,0.130151,0.400062,0.797757,0.564415,0.620696,0.436065,0.610654,1.19813,0.365951,0.430761,6.10559,5.47735,2.61353,0.0143553,3.96901,3.0528
HEP3B217,0.54658,0.241841,0.785181,0.713303,0.624088,0.00562426,0.456746,0.391937,0.396379,0.473468,0.114134,0.386216,0.78358,0.57501,0.689336,0.523934,0.632931,1.19681,0.326077,0.425597,6.5552,5.87578,1.80735,0.0143553,3.43563,2.96062
HEYA8,0.572338,0.732503,1.38803,0.878913,0.704866,0.268206,0.434322,0.277937,0.385954,0.247457,0.211385,0.23305,0.6767,0.699995,0.440002,0.673588,0.790534,1.01049,0.562843,0.354104,6.78424,3.31325,0.367371,1.18903,8.76742,3.03519
HGC27,0.364408,0.623973,1.3459,0.0185452,0.00464011,0.346153,0.359615,0.333362,1e-06,0.487499,0.106541,0.493603,1.39664,0.431515,2.21199,0.447347,0.514994,0.690596,0.0535612,0.648556,6.26003,6.29957,2.17951,0.495695,0.238787,3.00595
HH,0.515522,0.0798927,0.540088,0.51641,0.529865,0.00563928,0.484686,0.372028,0.475564,0.621724,0.109123,0.374237,0.785673,0.74042,0.733647,0.395288,0.620196,1.19449,0.22016,0.370196,6.62892,6.31615,3.14568,0.0143553,0.903038,2.99989
HL60,0.659929,0.484591,1.29089,1.36802,1.09601,0.0461253,0.360115,0.311426,0.176684,0.00590138,0.150158,0.367298,0.830852,0.529063,0.787673,0.822189,0.631252,1.2015,0.12914,0.406633,6.87455,5.09508,0.0143553,0.111031,1.1375,3.07437
HLF,0.563819,0.654785,0.838013,0.701188,0.71391,0.294444,0.456997,0.365825,0.394616,0.0161938,0.0878694,0.369304,0.659229,0.592587,0.516952,0.75948,0.621124,1.33706,0.51512,0.448133,6.72751,4.39643,0.0426443,1.7866,7.72996,3.02492
HLFA,0.565953,0.61547,0.90992,0.909401,0.697727,0.226603,0.440411,0.342772,0.348981,0.0967552,0.134651,0.392471,0.706429,0.587173,0.56905,0.771075,0.60671,1.25891,0.456822,0.426429,6.18349,5.99413,0.250962,0.641546,7.52881,2.90496
HMC18,0.603674,0.656865,1.13169,1.13106,0.825016,0.0274165,0.406529,0.298181,0.319126,0.205926,0.139395,0.36895,0.778995,0.686411,0.55843,0.704065,0.629711,1.05348,0.434606,0.345595,6.82706,4.97911,0.584963,0.0703893,6.64731,3.02088
HOS,0.472161,0.33914,0.395171,0.408203,0.428329,0.467168,0.526796,0.472051,0.560047,0.00551527,0.123045,0.383536,0.531494,0.560081,0.553303,0.768395,0.626105,1.2284,0.44197,0.434383,6.52982,4.89093,0.0143553,2.63691,6.37121,3.10229
HPAC,0.508403,0.499919,0.540874,0.545393,0.532184,0.0333844,0.49155,0.419296,0.478463,0.280428,0.0836135,0.397241,0.794259,0.568068,0.58838,0.674206,0.601287,1.39729,0.40482,0.425344,6.05463,4.72247,0.831877,0.0840643,4.62469,2.99502
HPAFII,0.588447,0.601297,1.1556,0.958598,0.778594,0.0114184,0.420836,0.317965,0.3407,0.0119731,0.171551,0.386237,0.803273,0.691909,0.586247,0.838181,0.623242,1.10806,0.409815,0.339778,6.45451,6.34837,0.0285692,0.0426443,6.73498,2.94644
HPBALL,0.59848,0.32999,1.03525,0.961608,0.833014,0.0680607,0.417467,0.351453,0.315915,0.269379,0.119481,0.399865,0.772001,0.578169,0.876571,0.681305,0.613666,1.21608,0.0859822,0.428467,6.13873,6.44692,0.790772,0.176323,0.613532,2.9643
HS229T,0.561563,0.631517,0.867942,0.852761,0.684348,0.202628,0.444356,0.341315,0.359798,0.16148,0.143026,0.404736,0.729118,0.576085,0.548136,0.745937,0.597974,1.32551,0.458551,0.437918,5.90977,6.14343,0.432959,0.555816,8.16435,3.04065
HS274T,0.572416,0.611365,0.934042,0.934042,0.713245,0.00550641,0.433987,0.33159,0.336584,0.00550641,0.134186,0.390957,0.767162,0.578079,0.581325,0.767162,0.614529,1.32442,0.400223,0.428964,6.28744,6.399,0.0143553,0.0143553,6.76368,2.9682
HS281T,0.589712,0.679803,1.19516,1.19502,0.760709,0.0228609,0.418183,0.330741,0.300064,0.0172679,0.139788,0.373816,0.80804,0.562793,0.537242,0.809858,0.62068,1.2458,0.422121,0.434134,6.64155,5.57592,0.0426443,0.0565835,7.52802,3.08556
HS343T,0.572461,0.678037,1.0405,1.00459,0.71956,0.317691,0.433291,0.345778,0.334801,0.0057861,0.149743,0.396593,0.664586,0.578205,0.521893,0.806128,0.603519,1.19917,0.441693,0.422849,6.08704,5.15866,0.0143553,0.956057,7.61316,2.92525
HS578T,0.55692,0.622416,0.813318,0.801098,0.684122,0.532372,0.446045,0.316051,0.387611,0.0868742,0.138262,0.388972,0.480213,0.722927,0.567055,0.767072,0.621508,1.24766,0.435171,0.348969,6.39129,5.97613,0.226509,2.21723,7.24394,2.8963
HS600T,0.565508,0.648729,0.546379,0.560129,0.698065,0.104537,0.441039,0.328926,0.37792,0.0728081,0.121312,0.399599,0.87557,0.66657,0.692839,0.890626,0.61022,1.16217,0.496732,0.484582,6.10832,6.3672,0.163499,0.238787,7.35676,2.90792
HS606T,0.578507,0.607703,0.982528,0.971641,0.737792,0.0166787,0.428441,0.355689,0.31946,0.0811827,0.130031,0.403335,0.782221,0.572827,0.571316,0.758275,0.601297,1.09649,0.420236,0.42352,5.96324,5.40361,0.214125,0.0426443,6.30195,2.9574
HS616T,0.567435,0.591606,0.887789,0.887789,0.701003,0.0466349,0.43824,0.336069,0.34604,0.0466349,0.136572,0.398548,0.75019,0.585096,0.602697,0.75019,0.60928,1.34018,0.384358,0.423519,6.11499,6.42408,0.124328,0.124328,6.12288,2.89539
HS675T,0.539755,0.650151,0.000965787,0.657986,0.648072,0.603456,0.430706,0.350071,0.340657,1e-06,0.125828,0.384685,0.26449,0.484498,0.601951,175.807,0.61937,1.10186,0.449683,0.365784,6.44029,5.38128,1.13761e-08,4.56316,6.72137,3.0199
HS683,0.541163,0.655409,0.705003,0.662715,0.646637,0.665417,0.468571,0.361315,0.423289,0.0217816,0.132888,0.496232,0.29291,0.798795,0.472077,0.777318,0.502036,1.21299,0.398839,0.399622,6.07017,5.71699,0.0840643,4.5435,8.02104,3.00169
HS695T,0.504016,0.66528,0.504115,0.493954,0.517999,0.565515,0.519638,0.45334,0.565763,0.126232,0.114999,0.564463,0.430049,0.587651,0.457324,0.81057,0.428812,1.13986,0.379698,0.440771,6.07746,5.2791,0.62293,6.57501,7.49241,3.00023
HS729,0.561765,0.566393,0.923679,0.916994,0.681816,0.160742,0.443215,0.353011,0.355527,0.222586,0.141697,0.389133,0.724705,0.572805,0.593269,0.693905,0.620421,1.14106,0.403117,0.424729,6.37747,7.43037,0.641546,0.443607,7.0782,2.96596
HS746T,0.5344,0.589205,0.740511,0.659363,0.605221,0.0148328,0.467254,0.387866,0.414577,0.518828,0.174257,0.382574,0.786418,0.575386,0.459504,0.490765,0.624265,1.08829,0.501615,0.431653,6.52701,5.30524,2.11437,0.0565835,9.00798,3.00079
HS751T,0.570521,0.60712,0.933614,0.924397,0.708618,0.0468378,0.4356,0.332602,0.340231,0.0928028,0.133625,0.388819,0.753455,0.564692,0.58452,0.739578,0.619987,1.33346,0.396695,0.438248,6.37817,6.39403,0.250962,0.124328,6.62644,3.10434
HS766T,0.534523,0.717046,0.678813,0.607831,0.651136,0.490376,0.47035,0.432862,0.41288,0.0330804,0.145881,0.489679,0.510575,0.597805,0.467096,0.798221,0.514828,0.944893,0.52486,0.440004,6.30816,3.47249,0.124328,4.80219,7.84304,2.94413
HS819T,0.583376,0.629038,1.03364,1.03837,0.752428,0.102925,0.424362,0.346097,0.309721,0.0765078,0.129671,0.38975,0.748524,0.562183,0.569232,0.758879,0.619275,1.14749,0.420033,0.432531,6.35562,5.53138,0.201634,0.275007,6.61073,3.07751
HS839T,0.554141,0.616904,0.825568,0.82485,0.662576,0.120795,0.450369,0.347236,0.374704,0.251258,0.139574,0.394964,0.750444,0.58694,0.541352,0.687263,0.612646,1.32581,0.456294,0.430186,6.20457,6.02259,0.731183,0.321928,7.94895,2.93172
HS840T,0.536229,0.619792,0.685431,0.684196,0.620123,0.701672,0.464617,0.368228,0.413281,0.472645,0.135024,0.373523,0.306316,0.559551,0.489945,0.540641,0.626209,1.27119,0.452157,0.436698,6.70598,5.42727,1.74846,4.58135,8.05441,3.12178
HS852T,0.506395,0.599845,0.493524,0.498812,0.53501,0.661039,0.497877,0.352811,0.493091,0.121926,0.141653,0.366329,0.321267,0.571787,0.604228,0.731356,0.623916,1.5495,0.497217,0.410996,6.81263,6.42777,0.333424,4.1152,7.99141,2.87517
HS863T,0.567104,0.612593,0.910342,0.887016,0.703283,0.0325394,0.425034,0.322295,0.313072,0.119942,0.152264,0.397441,0.774155,0.562113,0.523154,0.745148,0.610737,1.31031,0.391543,0.424134,6.1467,5.77347,0.321928,0.0840643,6.7909,3.01814
HS870T,0.563305,0.616639,0.871891,0.870199,0.685474,0.0266328,0.442391,0.336222,0.358795,0.0367993,0.125058,0.37533,0.756728,0.563726,0.546402,0.754001,0.631782,1.30583,0.415977,0.428868,6.73308,6.39849,0.0976108,0.0703893,7.53013,3.04309
HS888T,0.54027,0.550895,0.726501,0.730855,0.628172,0.0587313,0.46556,0.291364,0.414899,0.467834,0.0940111,0.384342,0.854252,0.560592,0.576529,0.56368,0.624065,1.08513,0.444827,0.430795,6.4949,7.98134,1.65992,0.137504,8.32805,3.07386
HS895T,0.570134,0.646302,0.946134,0.928828,0.706416,0.079313,0.435979,0.34031,0.341149,0.168514,0.14543,0.386805,0.740811,0.563259,0.538354,0.709407,0.625599,1.27014,0.427247,0.432528,6.4694,5.45582,0.475085,0.214125,7.18398,3.07162
HS940T,0.55644,0.603636,0.823934,0.837557,0.67392,0.479841,0.448165,0.348029,0.372153,0.051106,0.139972,0.393195,0.526213,0.561042,0.567031,0.743341,0.620744,1.33888,0.394911,0.434136,6.31488,5.98254,0.137504,1.82375,6.42307,3.09521
HSC2,0.532969,0.359201,0.690001,0.614315,0.593542,0.364127,0.470487,0.38355,0.43997,0.105185,0.199513,0.398593,0.618174,0.647914,0.607091,0.764963,0.612122,0.968466,0.405451,0.321081,6.14282,4.33914,0.275007,2.35614,5.12639,2.97337
HSC3,0.55637,0.676632,0.954643,0.82043,0.624888,0.598523,0.455502,0.337763,0.419406,0.0110276,0.143489,0.244299,0.414838,0.570572,0.434526,0.768191,0.81119,0.991622,0.540157,0.429872,6.64097,2.13093,0.0143553,2.88557,9.10638,3.01362
HSC4,0.516324,1e-06,0.39832,0.566106,0.552317,0.547011,0.487973,0.251966,0.486554,0.434776,0.156772,0.390534,0.457269,0.625263,0.670276,0.527802,0.608141,1.03795,0.258697,0.230666,6.22882,5.1534,0.823749,4.78503,1.92979,2.95128
HT,0.47307,0.00965526,0.349904,0.348722,0.390846,0.0113518,0.536027,0.526202,0.588708,0.00571642,0.121562,0.391006,0.794688,0.566624,0.667252,0.796419,0.601425,1.44047,0.236913,0.424086,6.15259,5.59276,0.0143553,0.0285692,0.748461,2.99377
HT1080,0.565988,0.664513,0.930469,0.885285,0.71037,0.500296,0.44694,0.325063,0.361528,0.192031,0.14149,0.365611,0.446327,0.636413,0.440145,0.690988,0.56998,0.980449,0.445686,0.326941,6.23592,4.57833,0.555816,2.24184,8.18651,3.08235
HT115,0.544971,0.549081,0.69173,0.759157,0.661755,0.321665,0.468609,0.401892,0.406717,0.407031,0.130843,0.491723,0.629801,0.564232,0.545945,0.575711,0.506956,1.19302,0.373702,0.427409,6.18587,5.23113,2.12102,1.02148,5.30122,3.03002
HT1197,0.544191,0.565521,0.757375,0.729256,0.644555,0.702683,0.458343,0.376269,0.396264,0.00565266,0.116283,0.391054,0.329605,0.569913,0.570913,0.787537,0.614935,1.12514,0.422803,0.424354,6.29002,5.74792,0.0143553,4.26379,6.29572,2.97838
HT1376,0.586473,0.399531,0.972844,0.804961,0.769807,0.666905,0.422808,0.302602,0.314748,0.00573899,0.125798,0.392668,0.347607,0.555821,0.642402,0.799564,0.621733,1.18217,0.366051,0.440031,6.33342,6.44427,0.0143553,5.75569,4.07382,3.16671
HT144,0.508067,0.640061,0.00180464,0.260307,0.672552,0.547175,0.442589,0.349202,0.419999,0.175004,0.121484,0.403831,0.442391,0.630005,0.472568,1.01502,0.622436,1.00874,0.42215,0.317299,6.16531,5.26716,0.344828,6.18428,7.80986,3.02187
HT29,0.541341,0.471268,0.64424,0.646505,0.653617,0.0946087,0.46339,0.405015,0.385597,0.0594201,0.0849087,0.48212,0.772587,0.567186,0.65961,0.786991,0.517472,1.56538,0.388757,0.42655,6.43996,5.10936,0.226509,0.367371,4.01703,3.00818
HT55,0.522229,0.437407,0.611439,0.562607,0.581326,0.404383,0.48246,0.391762,0.458299,0.0164701,0.102728,0.385724,0.584686,0.569564,0.535555,0.77244,0.622034,1.13201,0.386173,0.424721,6.45055,6.2485,0.0426443,3.45812,5.3837,2.98278
HUCCT1,0.572983,0.528347,0.94684,0.948661,0.672849,0.00567484,0.433868,0.349768,0.336475,1e-06,0.141744,0.389403,0.790627,0.567822,0.572177,167.78,0.619493,1.21094,0.389242,0.427344,6.36352,5.29682,1.19204e-08,0.0143553,7.75228,3.01041
HUG1N,0.585548,0.567464,0.827996,0.848332,0.791456,0.270517,0.429297,0.323248,0.362429,1e-06,0.137198,0.483408,0.658374,0.686854,0.525725,298.604,0.513778,1.04187,0.372059,0.257754,6.37695,4.96116,1.00467e-08,1.23266,5.4002,3.00214
HUH1,0.544683,0.505177,0.666452,0.604387,0.646389,0.00377147,0.445629,0.33313,0.372388,0.0670219,0.10869,0.392185,0.78817,0.577508,0.53741,0.760218,0.624792,1.62644,0.365329,0.42363,6.37243,4.79181,0.176323,0.0143553,4.65076,2.9342
HUH28,0.557617,0.537111,0.808469,0.712635,0.669362,0.0287402,0.452829,0.365637,0.389564,0.00554986,0.154273,0.388006,0.776542,0.569295,0.611721,0.773214,0.62073,1.11545,0.369474,0.433842,6.39917,6.49474,0.0143553,0.111031,5.4219,3.04828
HUH6,0.558411,0.0839525,0.721513,0.631433,0.665521,0.0220559,0.439761,0.310146,0.374101,0.13191,0.1536,0.394919,0.787108,0.56771,0.68062,0.740766,0.611256,1.16214,0.162932,0.425253,6.19121,5.1819,0.356144,0.0840643,0.687061,2.99627
HUH7,0.544317,0.170033,0.711589,0.0406609,0.8866,0.0221616,0.48468,0.435757,0.42127,0.472303,0.111768,0.495862,0.783324,0.403518,0.805978,0.526431,0.504224,1.34134,0.300089,0.597811,6.10119,6.56041,2.69153,0.0565835,1.57531,2.963
HUNS1,0.458748,0.0825117,0.285318,0.359713,0.39782,0.00606651,0.544768,0.658171,0.5607,0.0662998,0.0427168,0.200894,0.845194,0.561167,0.803483,0.78868,0.613162,0.499648,0.172497,0.434895,6.10434,4.66221,0.0840643,0.0143553,0.594549,3.09993
HUPT3,0.607166,0.623961,1.01979,1.02097,0.782065,0.198017,0.405264,0.254367,0.282943,0.189237,0.147021,0.374604,0.688382,0.578304,0.492472,0.693215,0.616941,1.07156,0.461848,0.420693,6.58766,5.44791,0.545968,0.575312,8.25144,2.90983
HUPT4,0.519785,0.430535,0.263383,0.779916,0.537504,0.60456,0.442492,0.355706,0.396467,0.00677491,0.129318,0.412851,0.426967,0.571043,0.568083,0.943891,0.622566,0.940373,0.353711,0.422115,6.03188,4.62352,0.0143553,2.83188,5.58616,2.9568
HUT78,0.62936,0.299629,1.08527,1.10314,0.837114,1e-06,0.346316,0.306856,0.0378673,0.341684,0.0725689,0.476509,187.076,0.575823,0.904994,0.646771,0.523834,1.24623,0.109228,0.417069,6.59589,5.67892,1.05658,1.06908e-08,0.978196,2.89721
HUTU80,0.474987,0.25916,0.38917,0.407043,0.422552,0.0739108,0.52513,0.354695,0.564423,0.475475,0.125169,0.395381,0.733119,0.566487,0.627603,0.523773,0.62203,1.22959,0.376406,0.425802,6.29297,6.07874,1.81558,0.201634,3.08916,3.00662
IALM,0.594064,0.677238,1.20454,1.23091,0.780995,0.0114403,0.41441,0.333602,0.28858,0.198759,0.151309,0.380233,0.800884,0.568812,0.54125,0.728098,0.626069,1.19161,0.427681,0.428121,6.58616,4.92647,0.545968,0.0285692,6.853,3.01063
IGR1,0.548256,0.654053,0.662647,0.714149,0.718352,0.395331,0.457596,0.408864,0.375449,0.0324688,0.112211,0.497014,0.608829,0.574376,0.464146,0.783462,0.502916,0.940453,0.587351,0.419111,6.07125,4.81352,0.124328,1.29866,5.24945,2.91872
IGR37,0.490791,0.643565,0.422265,0.389902,0.471898,0.647131,0.507867,0.471219,0.522012,0.0717786,0.141874,0.492631,0.366277,0.569032,0.357766,0.783019,0.507288,0.825839,0.664838,0.425905,6.17852,2.97636,0.275007,3.53356,5.41785,2.99389
IGROV1,0.495305,0.417866,0.468543,0.464141,0.491458,0.337947,0.504591,0.40773,0.510937,0.038118,0.110957,0.387409,0.635535,0.570714,0.540685,0.78102,0.62903,1.1866,0.438727,0.423027,6.49474,5.86295,0.0976108,1.0635,5.59872,2.9649
IM95,0.542809,0.410479,0.644219,0.680993,0.641935,0.584708,0.459273,0.424104,0.383824,0.0189743,0.110708,0.47082,0.422854,0.572799,0.606428,0.808685,0.528621,1.07019,0.394422,0.421301,6.7366,5.01257,0.0703893,2.76553,3.97728,2.94205
IMR32,0.671568,0.466688,1.3098,1.3129,1.03656,0.00627868,0.365084,0.307308,0.160167,1e-06,0.139663,0.408712,0.874755,0.572602,0.924772,221.69,0.596587,1.08049,0.0612894,0.421121,5.8387,5.5373,9.0216e-09,0.0143553,0.475085,2.94181
IPC298,0.480635,0.483355,0.470738,0.401577,0.436465,0.706213,0.526998,0.49127,0.632398,0.304778,0.168847,0.494775,0.327078,0.409435,0.456756,0.657998,0.504908,1.09887,0.514904,0.605676,6.12288,4.87135,1.38957,4.31832,7.56331,2.9586
ISTMES1,0.544119,0.56817,0.754019,0.777383,0.632126,0.521238,0.458516,0.394225,0.338871,0.157199,0.109294,0.37456,0.481132,0.406298,0.560538,0.726163,0.642774,1.28615,0.419174,0.592009,6.86431,6.3505,0.432959,2.16672,6.89203,2.91416
ISTMES2,0.55185,0.605393,0.802466,0.796994,0.662647,0.526971,0.451762,0.349522,0.381015,0.112257,0.137308,0.397186,0.482162,0.571521,0.556947,0.723445,0.609615,1.2887,0.402391,0.420641,6.13935,5.96694,0.31034,2.18587,6.66477,2.94401
J82,0.522404,0.595487,0.590783,0.542092,0.586292,0.299054,0.464511,0.25984,0.433266,0.0467976,0.141342,0.381624,0.630516,0.688854,0.491452,0.752808,0.601645,1.1235,0.451829,0.252877,6.30615,6.02503,0.124328,0.948601,8.43588,2.93678
JEKO1,0.653979,0.488799,1.59001,1.02598,0.899991,0.0309032,0.406227,0.261323,0.344703,0.141807,0.0801406,0.250783,0.735228,0.562294,0.783085,0.804248,0.865853,1.232,0.0787313,0.432943,6.90521,5.48156,0.176323,0.0840643,0.739848,3.07983
JHH1,0.452277,0.205871,0.330743,0.329253,0.276328,0.397313,0.544287,0.515581,0.628744,0.00380482,0.126933,0.498326,0.589637,0.570287,0.608306,0.795139,0.501632,1.16259,0.41575,0.424699,6.0398,6.67892,0.0143553,2.02148,3.24641,2.97884
JHH2,0.576153,0.607152,0.689272,0.689272,0.835418,0.00553004,0.453446,0.418067,0.338373,0.00553004,0.109632,0.561993,0.774268,0.565185,0.54565,0.774268,0.437366,1.18434,0.358578,0.428695,6.22593,5.99684,0.0285692,0.0285692,6.09972,3.03401
JHH4,0.394924,0.0763561,0.0358899,0.116587,0.0191225,0.00740336,0.567054,0.596339,0.655239,0.277909,0.0962778,0.393045,0.777415,0.586838,0.393378,0.668149,0.604721,1.21995,0.957246,0.444708,6.15421,5.4266,0.831877,0.0285692,6.88338,3.03121
JHH5,0.526924,0.204491,0.630711,0.520934,0.582359,0.00597939,0.475298,0.443155,0.456548,0.38817,0.127593,0.374111,0.627886,0.572039,0.63924,0.623622,0.615356,1.14939,0.325751,0.418643,6.57939,4.6011,1.24489,0.0285692,2.96717,2.92737
JHH6,0.519314,0.43574,0.617632,0.614509,0.547605,0.00653811,0.47282,0.414773,0.379698,0.00422958,0.118367,0.486274,0.686556,0.393432,0.58786,0.883906,0.513774,1.37454,0.393469,0.596415,6.33932,6.39917,0.0143553,0.0285692,7.60696,3.03186
JHH7,0.707598,2.43128e-05,0.82372,0.819954,0.764186,0.0106315,0.40034,0.508288,0.177965,0.451543,0.0715968,0.465877,0.747921,0.555841,0.779823,0.613539,0.518088,0.876584,0.166742,0.416079,6.67243,5.57592,2.20789,0.0426443,0.641546,2.99423
JHOC5,0.564844,0.594203,0.846191,0.721216,0.706257,0.0663082,0.456623,0.339418,0.393507,0.20949,0.0963165,0.387259,0.666061,0.563361,0.4897,0.881905,0.607945,1.41615,0.493207,0.432722,6.27947,4.69544,0.475085,0.298658,7.63438,3.07243
JHOM1,0.543687,0.611687,0.891057,0.648843,0.63107,0.0112702,0.458902,0.311875,0.42096,0.541698,0.100511,0.251803,0.79285,0.572743,0.51585,0.473493,0.76626,1.34901,0.463032,0.429105,6.08619,4.6311,1.14405,0.0426443,6.88069,2.99684
JHOS2,0.565405,0.395088,0.846087,0.723143,0.721048,0.52351,0.444523,0.224624,0.407483,0.117156,0.152651,0.238855,0.477124,0.641288,0.609917,0.755017,0.835964,1.03835,0.400843,0.323331,6.99977,5.28873,0.31034,4.38888,4.06091,3.02514
JHOS4,0.544826,0.246513,0.605701,0.733244,0.598509,0.637097,0.455323,0.268432,0.426249,0.0222774,0.163265,0.25278,0.365308,0.645217,0.72304,0.779771,0.806748,1.06367,0.226526,0.320483,6.38301,7.2031,0.0285692,3.488,2.60881,2.98023
JHUEM2,0.539742,0.492878,0.740324,0.727252,0.403088,0.0692294,0.436898,0.397844,0.326301,1e-06,0.123621,0.426043,1.11366,0.636666,0.645436,253.883,0.664458,1.08158,0.449788,0.463796,6.2384,5.02547,7.87764e-09,0.124328,4.84599,2.91391
JHUEM3,0.543568,0.608063,0.735033,0.70648,0.644629,0.57167,0.458328,0.323789,0.41765,0.193472,0.135075,0.40156,0.430209,0.633284,0.58443,0.73554,0.608606,1.29309,0.419806,0.313261,6.06242,6.46189,0.526069,2.65764,7.08151,2.96797
