time, species_1, species_2, species_3
0.3, 9.70535e-11, 2.90096e-12, 4.48346e-14
0.4, 9.61386e-11, 3.77939e-12, 8.13664e-14
0.5, 9.51954e-11, 4.66445e-12, 1.39485e-13
0.6, 9.42754e-11, 5.5296e-12, 1.94283e-13
0.7, 9.33522e-11, 6.39806e-12, 2.49081e-13
0.8, 9.24223e-11, 7.25157e-12, 3.25466e-13
0.9, 9.15671e-11, 8.00878e-12, 4.23437e-13
1, 9.05791e-11, 8.91876e-12, 5.01483e-13
1.1, 8.97372e-11, 9.67098e-12, 5.91152e-13
1.2, 8.87741e-11, 1.05444e-11, 6.80821e-13
1.3, 8.79571e-11, 1.12286e-11, 8.13664e-13
1.4, 8.7067e-11, 1.2004e-11, 9.28241e-13
1.5, 8.62152e-11, 1.2738e-11, 1.04614e-12
1.6, 8.53733e-11, 1.34537e-11, 1.17234e-12
1.7, 8.45812e-11, 1.40996e-11, 1.31847e-12
1.8, 8.37642e-11, 1.47655e-11, 1.46958e-12
1.9, 8.29456e-11, 1.54679e-11, 1.58581e-12
2, 8.21701e-11, 1.60823e-11, 1.74689e-12
2.1, 8.13581e-11, 1.67316e-11, 1.90962e-12
2.2, 8.05013e-11, 1.73908e-11, 2.10722e-12
2.3, 7.9671e-11, 1.80401e-11, 2.28822e-12
2.4, 7.8849e-11, 1.86993e-11, 2.45096e-12
2.5, 7.81051e-11, 1.92307e-11, 2.6635e-12
2.6, 7.73546e-11, 1.97471e-11, 2.89764e-12
2.7, 7.65841e-11, 2.03383e-11, 3.07698e-12
2.8, 7.58252e-11, 2.09344e-11, 3.23971e-12
2.9, 7.51294e-11, 2.14625e-11, 3.40743e-12
3, 7.43955e-11, 2.19806e-11, 3.6233e-12
3.1, 7.36931e-11, 2.24538e-11, 3.85245e-12
3.2, 7.29857e-11, 2.29121e-11, 4.10153e-12
3.3, 7.21936e-11, 2.34817e-11, 4.32404e-12
3.4, 7.14115e-11, 2.40131e-11, 4.57479e-12
3.5, 7.07473e-11, 2.44332e-11, 4.81888e-12
3.6, 7.00498e-11, 2.48998e-11, 5.0497e-12
3.7, 6.93424e-11, 2.53614e-11, 5.29546e-12
3.8, 6.86915e-11, 2.57849e-11, 5.52295e-12
3.9, 6.80522e-11, 2.61618e-11, 5.78532e-12
4, 6.74013e-11, 2.65454e-11, 6.05266e-12
4.1, 6.67171e-11, 2.69705e-11, 6.31171e-12
4.2, 6.6028e-11, 2.73458e-11, 6.62555e-12
4.3, 6.53505e-11, 2.77576e-11, 6.89124e-12
4.4, 6.46963e-11, 2.81312e-11, 7.17187e-12
4.5, 6.40287e-11, 2.85231e-11, 7.44752e-12
4.6, 6.33878e-11, 2.89249e-11, 7.68664e-12
4.7, 6.27435e-11, 2.92869e-11, 7.96893e-12
4.8, 6.21722e-11, 2.9526e-11, 8.30103e-12
4.9, 6.15197e-11, 2.98997e-11, 8.58001e-12
5, 6.08637e-11, 3.02384e-11, 8.89717e-12
5.1, 6.01912e-11, 3.06419e-11, 9.16618e-12
5.2, 5.95967e-11, 3.09275e-11, 9.47504e-12
5.3, 5.89857e-11, 3.12082e-11, 9.80548e-12
5.4, 5.84261e-11, 3.14489e-11, 1.01243e-11
5.5, 5.78316e-11, 3.17329e-11, 1.04348e-11
5.6, 5.73118e-11, 3.19056e-11, 1.07819e-11
5.7, 5.67639e-11, 3.20916e-11, 1.11439e-11
5.8, 5.61661e-11, 3.23705e-11, 1.14627e-11
5.9, 5.56347e-11, 3.25914e-11, 1.17732e-11
6, 5.509e-11, 3.28305e-11, 1.20788e-11
6.1, 5.45321e-11, 3.30829e-11, 1.23843e-11
6.2, 5.39891e-11, 3.33088e-11, 1.27015e-11
6.3, 5.34312e-11, 3.34748e-11, 1.30934e-11
6.4, 5.284e-11, 3.36957e-11, 1.34637e-11
6.5, 5.22804e-11, 3.39232e-11, 1.37958e-11
6.6, 5.17391e-11, 3.41208e-11, 1.41395e-11
6.7, 5.12708e-11, 3.42785e-11, 1.445e-11
6.8, 5.0756e-11, 3.44412e-11, 1.4802e-11
6.9, 5.02645e-11, 3.45857e-11, 1.51491e-11
7, 4.97946e-11, 3.47136e-11, 1.54912e-11
7.1, 4.92931e-11, 3.4863e-11, 1.58432e-11
7.2, 4.88298e-11, 3.50075e-11, 1.6162e-11
7.3, 4.83466e-11, 3.51503e-11, 1.65024e-11
7.4, 4.78816e-11, 3.52599e-11, 1.68578e-11
7.5, 4.7415e-11, 3.53894e-11, 1.71949e-11
7.6, 4.68969e-11, 3.55156e-11, 1.75868e-11
7.7, 4.64353e-11, 3.56684e-11, 1.78956e-11
