LINE,CNV_STAT3_1,CNV_STAT3_2,CNV_STAT3_3,CNV_STAT3_4,CNV_STAT3_5,STAT3_1,STAT3_2,STAT3_3,STAT3_4,STAT3_5,MYC_1,MYC_2,MYC_3,MYC_4,MYC_5
608-1,1,2,3,4,5,82.2556,164.511,246.767,329.022,411.278,20.356,20.356,20.356,20.356,20.356
609-1,1,2,3,4,5,45.5311,91.0622,136.593,182.124,227.656,27.3309,27.3309,27.3309,27.3309,27.3309
610-1,1,2,3,4,5,34.1159,68.2318,102.348,136.464,170.579,23.8789,23.8789,23.8789,23.8789,23.8789
611-1,1,2,3,4,5,43.4503,86.9005,130.351,173.801,217.251,24.4388,24.4388,24.4388,24.4388,24.4388
612-1,1,2,3,4,5,12.667,25.334,38.0009,50.6679,63.3349,62.6307,62.6307,62.6307,62.6307,62.6307
613-1,1,2,3,4,5,26.378,52.7561,79.1341,105.512,131.89,7.52613,7.52613,7.52613,7.52613,7.52613
614-1,1,2,3,4,5,15.7769,31.5538,47.3307,63.1077,78.8846,26.6998,26.6998,26.6998,26.6998,26.6998
615-1,1,2,3,4,5,33.2651,66.5301,99.7952,133.06,166.325,2.74814,2.74814,2.74814,2.74814,2.74814
616-1,1,2,3,4,5,40.4214,80.8428,121.264,161.686,202.107,74.5628,74.5628,74.5628,74.5628,74.5628
617-1,1,2,3,4,5,20.8457,41.6914,62.537,83.3827,104.228,7.47035,7.47035,7.47035,7.47035,7.47035
618-1,1,2,3,4,5,28.8101,57.6203,86.4304,115.241,144.051,15.6899,15.6899,15.6899,15.6899,15.6899
619-1,1,2,3,4,5,20.165,40.33,60.495,80.66,100.825,40.4829,40.4829,40.4829,40.4829,40.4829
620-1,1,2,3,4,5,22.9963,45.9926,68.9889,91.9852,114.982,24.0751,24.0751,24.0751,24.0751,24.0751
621-1,1,2,3,4,5,4.73537,9.47075,14.2061,18.9415,23.6769,0.131721,0.131721,0.131721,0.131721,0.131721
622-1,1,2,3,4,5,62.8961,125.792,188.688,251.585,314.481,2.29914,2.29914,2.29914,2.29914,2.29914
623-1,1,2,3,4,5,40.9861,81.9722,122.958,163.944,204.931,7.91233,7.91233,7.91233,7.91233,7.91233
624-1,1,2,3,4,5,30.1675,60.335,90.5025,120.67,150.837,11.7637,11.7637,11.7637,11.7637,11.7637
625-1,1,2,3,4,5,40.5829,81.1658,121.749,162.332,202.915,13.1791,13.1791,13.1791,13.1791,13.1791
626-1,1,2,3,4,5,53.838,107.676,161.514,215.352,269.19,32.6918,32.6918,32.6918,32.6918,32.6918
627-1,1,2,3,4,5,15.2273,30.4547,45.682,60.9093,76.1366,17.1446,17.1446,17.1446,17.1446,17.1446
628-1,1,2,3,4,5,42.4239,84.8477,127.272,169.695,212.119,20.2835,20.2835,20.2835,20.2835,20.2835
629-1,1,2,3,4,5,13.4156,26.8313,40.2469,53.6626,67.0782,12.9949,12.9949,12.9949,12.9949,12.9949
630-1,1,2,3,4,5,57.7321,115.464,173.196,230.929,288.661,2.46058,2.46058,2.46058,2.46058,2.46058
631-1,1,2,3,4,5,19.5096,39.0191,58.5287,78.0382,97.5478,4.96376,4.96376,4.96376,4.96376,4.96376
632-1,1,2,3,4,5,53.3082,106.616,159.925,213.233,266.541,59.972,59.972,59.972,59.972,59.972
633-1,1,2,3,4,5,54.5194,109.039,163.558,218.078,272.597,17.5948,17.5948,17.5948,17.5948,17.5948
634-1,1,2,3,4,5,44.9132,89.8263,134.739,179.653,224.566,19.4205,19.4205,19.4205,19.4205,19.4205
635-1,1,2,3,4,5,31.3808,62.7615,94.1423,125.523,156.904,68.1582,68.1582,68.1582,68.1582,68.1582
636-1,1,2,3,4,5,29.3118,58.6237,87.9355,117.247,146.559,6.6952,6.6952,6.6952,6.6952,6.6952
637-1,1,2,3,4,5,27.0377,54.0754,81.1131,108.151,135.189,36.9653,36.9653,36.9653,36.9653,36.9653
638-1,1,2,3,4,5,43.113,86.226,129.339,172.452,215.565,34.6724,34.6724,34.6724,34.6724,34.6724
639-1,1,2,3,4,5,34.0088,68.0175,102.026,136.035,170.044,31.7605,31.7605,31.7605,31.7605,31.7605
640-1,1,2,3,4,5,32.1089,64.2178,96.3267,128.436,160.545,47.4284,47.4284,47.4284,47.4284,47.4284
641-1,1,2,3,4,5,32.0063,64.0126,96.0189,128.025,160.031,12.4829,12.4829,12.4829,12.4829,12.4829
642-1,1,2,3,4,5,21.8726,43.7452,65.6178,87.4904,109.363,7.13782,7.13782,7.13782,7.13782,7.13782
643-1,1,2,3,4,5,30.0047,60.0093,90.014,120.019,150.023,5.29499,5.29499,5.29499,5.29499,5.29499
644-1,1,2,3,4,5,57.4512,114.902,172.354,229.805,287.256,10.6915,10.6915,10.6915,10.6915,10.6915
645-1,1,2,3,4,5,18.7564,37.5128,56.2692,75.0256,93.7819,9.38556,9.38556,9.38556,9.38556,9.38556
646-1,1,2,3,4,5,57.9008,115.802,173.703,231.603,289.504,24.357,24.357,24.357,24.357,24.357
647-1,1,2,3,4,5,35.7978,71.5956,107.393,143.191,178.989,29.0404,29.0404,29.0404,29.0404,29.0404
648-1,1,2,3,4,5,47.3287,94.6574,141.986,189.315,236.643,25.5067,25.5067,25.5067,25.5067,25.5067
649-1,1,2,3,4,5,37.0559,74.1118,111.168,148.224,185.279,57.0249,57.0249,57.0249,57.0249,57.0249
650-1,1,2,3,4,5,40.0048,80.0097,120.015,160.019,200.024,19.3431,19.3431,19.3431,19.3431,19.3431
651-1,1,2,3,4,5,42.6067,85.2134,127.82,170.427,213.033,19.7716,19.7716,19.7716,19.7716,19.7716
652-1,1,2,3,4,5,71.6175,143.235,214.852,286.47,358.087,48.475,48.475,48.475,48.475,48.475
653-1,1,2,3,4,5,34.1892,68.3785,102.568,136.757,170.946,10.4262,10.4262,10.4262,10.4262,10.4262
654-1,1,2,3,4,5,26.6375,53.275,79.9125,106.55,133.188,16.0135,16.0135,16.0135,16.0135,16.0135
655-1,1,2,3,4,5,61.83,123.66,185.49,247.32,309.15,11.9132,11.9132,11.9132,11.9132,11.9132
656-1,1,2,3,4,5,30.4941,60.9882,91.4823,121.976,152.471,61.313,61.313,61.313,61.313,61.313
657-1,1,2,3,4,5,43.1815,86.363,129.544,172.726,215.907,17.7363,17.7363,17.7363,17.7363,17.7363
658-1,1,2,3,4,5,60.1384,120.277,180.415,240.553,300.692,203.493,203.493,203.493,203.493,203.493
659-1,1,2,3,4,5,52.5188,105.038,157.556,210.075,262.594,12.3743,12.3743,12.3743,12.3743,12.3743
660-1,1,2,3,4,5,18.162,36.324,54.4861,72.6481,90.8101,45.5535,45.5535,45.5535,45.5535,45.5535
661-1,1,2,3,4,5,40.2142,80.4284,120.643,160.857,201.071,20.1218,20.1218,20.1218,20.1218,20.1218
662-1,1,2,3,4,5,38.9934,77.9869,116.98,155.974,194.967,17.0359,17.0359,17.0359,17.0359,17.0359
663-1,1,2,3,4,5,65.4151,130.83,196.245,261.66,327.075,116.074,116.074,116.074,116.074,116.074
664-1,1,2,3,4,5,25.9255,51.8511,77.7766,103.702,129.628,49.8274,49.8274,49.8274,49.8274,49.8274
665-1,1,2,3,4,5,24.4849,48.9698,73.4547,97.9396,122.425,6.16854,6.16854,6.16854,6.16854,6.16854
666-1,1,2,3,4,5,47.5837,95.1674,142.751,190.335,237.919,34.6562,34.6562,34.6562,34.6562,34.6562
667-1,1,2,3,4,5,46.2507,92.5013,138.752,185.003,231.253,7.06751,7.06751,7.06751,7.06751,7.06751
668-1,1,2,3,4,5,31.3707,62.7413,94.112,125.483,156.853,15.897,15.897,15.897,15.897,15.897
669-1,1,2,3,4,5,29.7824,59.5649,89.3473,119.13,148.912,16.5075,16.5075,16.5075,16.5075,16.5075
670-1,1,2,3,4,5,62.3105,124.621,186.932,249.242,311.553,42.2407,42.2407,42.2407,42.2407,42.2407
671-1,1,2,3,4,5,34.9701,69.9401,104.91,139.88,174.85,4.96441,4.96441,4.96441,4.96441,4.96441
672-1,1,2,3,4,5,47.6929,95.3857,143.079,190.771,238.464,128.385,128.385,128.385,128.385,128.385
673-1,1,2,3,4,5,29.4132,58.8264,88.2397,117.653,147.066,8.56711,8.56711,8.56711,8.56711,8.56711
674-1,1,2,3,4,5,52.2435,104.487,156.73,208.974,261.217,20.8017,20.8017,20.8017,20.8017,20.8017
675-1,1,2,3,4,5,50.2843,100.569,150.853,201.137,251.421,17.7267,17.7267,17.7267,17.7267,17.7267
676-1,1,2,3,4,5,37.2764,74.5527,111.829,149.105,186.382,78.492,78.492,78.492,78.492,78.492
677-1,1,2,3,4,5,34.4697,68.9395,103.409,137.879,172.349,9.64761,9.64761,9.64761,9.64761,9.64761
678-1,1,2,3,4,5,23.9428,47.8855,71.8283,95.771,119.714,12.8374,12.8374,12.8374,12.8374,12.8374
679-1,1,2,3,4,5,23.6322,47.2643,70.8965,94.5287,118.161,13.1739,13.1739,13.1739,13.1739,13.1739
680-1,1,2,3,4,5,50.2966,100.593,150.89,201.186,251.483,1.31513,1.31513,1.31513,1.31513,1.31513
681-1,1,2,3,4,5,27.7918,55.5837,83.3755,111.167,138.959,9.01669,9.01669,9.01669,9.01669,9.01669
682-1,1,2,3,4,5,37.5493,75.0985,112.648,150.197,187.746,45.8754,45.8754,45.8754,45.8754,45.8754
683-1,1,2,3,4,5,28.2193,56.4385,84.6578,112.877,141.096,22.7108,22.7108,22.7108,22.7108,22.7108
684-1,1,2,3,4,5,42.6224,85.2448,127.867,170.49,213.112,20.5768,20.5768,20.5768,20.5768,20.5768
685-1,1,2,3,4,5,35.1853,70.3707,105.556,140.741,175.927,23.7488,23.7488,23.7488,23.7488,23.7488
686-1,1,2,3,4,5,43.4249,86.8499,130.275,173.7,217.125,8.65092,8.65092,8.65092,8.65092,8.65092
687-1,1,2,3,4,5,61.2912,122.582,183.874,245.165,306.456,45.9422,45.9422,45.9422,45.9422,45.9422
688-1,1,2,3,4,5,54.7596,109.519,164.279,219.038,273.798,4.66102,4.66102,4.66102,4.66102,4.66102
689-1,1,2,3,4,5,51.9389,103.878,155.817,207.756,259.695,30.1761,30.1761,30.1761,30.1761,30.1761
690-1,1,2,3,4,5,66.7623,133.525,200.287,267.049,333.812,39.8321,39.8321,39.8321,39.8321,39.8321
691-1,1,2,3,4,5,2.91119,5.82239,8.73358,11.6448,14.556,11.424,11.424,11.424,11.424,11.424
692-1,1,2,3,4,5,41.1557,82.3115,123.467,164.623,205.779,30.6668,30.6668,30.6668,30.6668,30.6668
693-1,1,2,3,4,5,38.7828,77.5656,116.348,155.131,193.914,15.4413,15.4413,15.4413,15.4413,15.4413
694-1,1,2,3,4,5,32.3599,64.7199,97.0798,129.44,161.8,111.764,111.764,111.764,111.764,111.764
695-1,1,2,3,4,5,41.4511,82.9022,124.353,165.804,207.255,20.2256,20.2256,20.2256,20.2256,20.2256
696-1,1,2,3,4,5,18.7933,37.5867,56.38,75.1733,93.9667,44.0079,44.0079,44.0079,44.0079,44.0079
697-1,1,2,3,4,5,53.9399,107.88,161.82,215.76,269.7,45.4897,45.4897,45.4897,45.4897,45.4897
698-1,1,2,3,4,5,59.0958,118.192,177.287,236.383,295.479,48.5672,48.5672,48.5672,48.5672,48.5672
699-1,1,2,3,4,5,22.6479,45.2959,67.9438,90.5917,113.24,13.5111,13.5111,13.5111,13.5111,13.5111
700-1,1,2,3,4,5,33.1151,66.2301,99.3452,132.46,165.575,64.0231,64.0231,64.0231,64.0231,64.0231
701-1,1,2,3,4,5,46.2278,92.4556,138.683,184.911,231.139,66.1261,66.1261,66.1261,66.1261,66.1261
702-1,1,2,3,4,5,21.7971,43.5943,65.3914,87.1885,108.986,9.97844,9.97844,9.97844,9.97844,9.97844
703-1,1,2,3,4,5,50.1595,100.319,150.479,200.638,250.798,3.77075,3.77075,3.77075,3.77075,3.77075
704-1,1,2,3,4,5,56.5245,113.049,169.574,226.098,282.623,55.3002,55.3002,55.3002,55.3002,55.3002
705-1,1,2,3,4,5,57.7916,115.583,173.375,231.166,288.958,24.6559,24.6559,24.6559,24.6559,24.6559
706-1,1,2,3,4,5,50.4301,100.86,151.29,201.72,252.151,24.2381,24.2381,24.2381,24.2381,24.2381
707-1,1,2,3,4,5,38.5619,77.1238,115.686,154.248,192.81,59.173,59.173,59.173,59.173,59.173
708-1,1,2,3,4,5,34.3007,68.6014,102.902,137.203,171.503,18.0237,18.0237,18.0237,18.0237,18.0237
709-1,1,2,3,4,5,38.7749,77.5499,116.325,155.1,193.875,114.797,114.797,114.797,114.797,114.797
710-1,1,2,3,4,5,40.9291,81.8583,122.787,163.717,204.646,34.8231,34.8231,34.8231,34.8231,34.8231
711-1,1,2,3,4,5,29.712,59.424,89.136,118.848,148.56,4.76103,4.76103,4.76103,4.76103,4.76103
712-1,1,2,3,4,5,46.627,93.2539,139.881,186.508,233.135,18.0407,18.0407,18.0407,18.0407,18.0407
713-1,1,2,3,4,5,3.41772,6.83544,10.2532,13.6709,17.0886,5.7639,5.7639,5.7639,5.7639,5.7639
714-1,1,2,3,4,5,54.438,108.876,163.314,217.752,272.19,47.0568,47.0568,47.0568,47.0568,47.0568
715-1,1,2,3,4,5,47.0395,94.0791,141.119,188.158,235.198,6.93605,6.93605,6.93605,6.93605,6.93605
716-1,1,2,3,4,5,59.3404,118.681,178.021,237.362,296.702,15.0037,15.0037,15.0037,15.0037,15.0037
717-1,1,2,3,4,5,60.6071,121.214,181.821,242.428,303.036,4.07924,4.07924,4.07924,4.07924,4.07924
718-1,1,2,3,4,5,27.2969,54.5938,81.8907,109.188,136.484,16.6328,16.6328,16.6328,16.6328,16.6328
719-1,1,2,3,4,5,41.2091,82.4183,123.627,164.837,206.046,30.9029,30.9029,30.9029,30.9029,30.9029
720-1,1,2,3,4,5,43.3523,86.7046,130.057,173.409,216.761,68.0578,68.0578,68.0578,68.0578,68.0578
721-1,1,2,3,4,5,28.3912,56.7823,85.1735,113.565,141.956,9.67786,9.67786,9.67786,9.67786,9.67786
722-1,1,2,3,4,5,55.8807,111.761,167.642,223.523,279.404,88.8316,88.8316,88.8316,88.8316,88.8316
723-1,1,2,3,4,5,16.6426,33.2852,49.9277,66.5703,83.2129,41.6663,41.6663,41.6663,41.6663,41.6663
724-1,1,2,3,4,5,37.1601,74.3203,111.48,148.641,185.801,47.2662,47.2662,47.2662,47.2662,47.2662
725-1,1,2,3,4,5,35.5754,71.1508,106.726,142.302,177.877,5.84817,5.84817,5.84817,5.84817,5.84817
726-1,1,2,3,4,5,29.0304,58.0607,87.0911,116.121,145.152,8.28265,8.28265,8.28265,8.28265,8.28265
727-1,1,2,3,4,5,48.259,96.518,144.777,193.036,241.295,35.8375,35.8375,35.8375,35.8375,35.8375
728-1,1,2,3,4,5,34.2096,68.4193,102.629,136.839,171.048,101.958,101.958,101.958,101.958,101.958
729-1,1,2,3,4,5,47.2937,94.5874,141.881,189.175,236.469,42.0452,42.0452,42.0452,42.0452,42.0452
730-1,1,2,3,4,5,25.8648,51.7296,77.5944,103.459,129.324,13.8374,13.8374,13.8374,13.8374,13.8374
731-1,1,2,3,4,5,18.8498,37.6997,56.5495,75.3993,94.2491,7.23274,7.23274,7.23274,7.23274,7.23274
732-1,1,2,3,4,5,13.4131,26.8262,40.2392,53.6523,67.0654,13.7705,13.7705,13.7705,13.7705,13.7705
733-1,1,2,3,4,5,33.6303,67.2606,100.891,134.521,168.151,11.5212,11.5212,11.5212,11.5212,11.5212
734-1,1,2,3,4,5,101.487,202.974,304.461,405.948,507.436,25.4189,25.4189,25.4189,25.4189,25.4189
