LINE,CNV_STAT3_1,CNV_STAT3_2,CNV_STAT3_3,CNV_STAT3_4,CNV_STAT3_5,STAT3_1,STAT3_2,STAT3_3,STAT3_4,STAT3_5,MYC_1,MYC_2,MYC_3,MYC_4,MYC_5
735-1,1,2,3,4,5,26.0108,52.0215,78.0323,104.043,130.054,68.6294,68.6294,68.6294,68.6294,68.6294
736-1,1,2,3,4,5,29.5698,59.1395,88.7093,118.279,147.849,12.1892,12.1892,12.1892,12.1892,12.1892
737-1,1,2,3,4,5,26.9219,53.8438,80.7657,107.688,134.61,10.341,10.341,10.341,10.341,10.341
738-1,1,2,3,4,5,26.1874,52.3747,78.5621,104.749,130.937,24.8254,24.8254,24.8254,24.8254,24.8254
739-1,1,2,3,4,5,56.5007,113.001,169.502,226.003,282.504,20.8381,20.8381,20.8381,20.8381,20.8381
740-1,1,2,3,4,5,49.4804,98.9609,148.441,197.922,247.402,17.2961,17.2961,17.2961,17.2961,17.2961
741-1,1,2,3,4,5,57.3423,114.685,172.027,229.369,286.712,37.5217,37.5217,37.5217,37.5217,37.5217
742-1,1,2,3,4,5,34.8313,69.6625,104.494,139.325,174.156,14.4166,14.4166,14.4166,14.4166,14.4166
743-1,1,2,3,4,5,43.9326,87.8653,131.798,175.731,219.663,13.2277,13.2277,13.2277,13.2277,13.2277
744-1,1,2,3,4,5,36.4499,72.8999,109.35,145.8,182.25,30.2554,30.2554,30.2554,30.2554,30.2554
745-1,1,2,3,4,5,38.8571,77.7143,116.571,155.429,194.286,13.3798,13.3798,13.3798,13.3798,13.3798
746-1,1,2,3,4,5,75.8957,151.791,227.687,303.583,379.479,13.9671,13.9671,13.9671,13.9671,13.9671
747-1,1,2,3,4,5,47.1072,94.2144,141.322,188.429,235.536,3.23961,3.23961,3.23961,3.23961,3.23961
748-1,1,2,3,4,5,63.265,126.53,189.795,253.06,316.325,30.7702,30.7702,30.7702,30.7702,30.7702
749-1,1,2,3,4,5,49.3304,98.6609,147.991,197.322,246.652,35.015,35.015,35.015,35.015,35.015
750-1,1,2,3,4,5,18.2422,36.4844,54.7266,72.9687,91.2109,4.86445,4.86445,4.86445,4.86445,4.86445
751-1,1,2,3,4,5,47.5488,95.0976,142.646,190.195,237.744,22.5131,22.5131,22.5131,22.5131,22.5131
752-1,1,2,3,4,5,18.7643,37.5287,56.293,75.0574,93.8217,10.4185,10.4185,10.4185,10.4185,10.4185
753-1,1,2,3,4,5,60.5314,121.063,181.594,242.126,302.657,10.7069,10.7069,10.7069,10.7069,10.7069
754-1,1,2,3,4,5,39.5703,79.1405,118.711,158.281,197.851,40.8089,40.8089,40.8089,40.8089,40.8089
755-1,1,2,3,4,5,25.6808,51.3616,77.0424,102.723,128.404,51.075,51.075,51.075,51.075,51.075
756-1,1,2,3,4,5,42.2759,84.5518,126.828,169.104,211.379,4.51493,4.51493,4.51493,4.51493,4.51493
757-1,1,2,3,4,5,36.1213,72.2425,108.364,144.485,180.606,73.6092,73.6092,73.6092,73.6092,73.6092
758-1,1,2,3,4,5,46.6381,93.2762,139.914,186.552,233.191,7.09797,7.09797,7.09797,7.09797,7.09797
759-1,1,2,3,4,5,26.6634,53.3267,79.9901,106.653,133.317,2.39304,2.39304,2.39304,2.39304,2.39304
760-1,1,2,3,4,5,18.8806,37.7611,56.6417,75.5222,94.4028,4.45975,4.45975,4.45975,4.45975,4.45975
761-1,1,2,3,4,5,29.1205,58.241,87.3615,116.482,145.603,30.093,30.093,30.093,30.093,30.093
762-1,1,2,3,4,5,48.9734,97.9468,146.92,195.894,244.867,5.59096,5.59096,5.59096,5.59096,5.59096
763-1,1,2,3,4,5,18.9012,37.8025,56.7037,75.605,94.5062,65.6505,65.6505,65.6505,65.6505,65.6505
764-1,1,2,3,4,5,78.9102,157.82,236.731,315.641,394.551,39.9401,39.9401,39.9401,39.9401,39.9401
765-1,1,2,3,4,5,35.4777,70.9555,106.433,141.911,177.389,9.17556,9.17556,9.17556,9.17556,9.17556
766-1,1,2,3,4,5,27.8949,55.7899,83.6848,111.58,139.475,52.4252,52.4252,52.4252,52.4252,52.4252
767-1,1,2,3,4,5,33.6157,67.2314,100.847,134.463,168.078,11.5698,11.5698,11.5698,11.5698,11.5698
768-1,1,2,3,4,5,58.297,116.594,174.891,233.188,291.485,7.71281,7.71281,7.71281,7.71281,7.71281
769-1,1,2,3,4,5,19.9929,39.9857,59.9786,79.9714,99.9643,25.1473,25.1473,25.1473,25.1473,25.1473
770-1,1,2,3,4,5,61.683,123.366,185.049,246.732,308.415,37.0205,37.0205,37.0205,37.0205,37.0205
771-1,1,2,3,4,5,30.5186,61.0371,91.5557,122.074,152.593,6.93477,6.93477,6.93477,6.93477,6.93477
772-1,1,2,3,4,5,1.57895,3.1579,4.73686,6.31581,7.89476,51.2897,51.2897,51.2897,51.2897,51.2897
773-1,1,2,3,4,5,37.3112,74.6223,111.934,149.245,186.556,47.2757,47.2757,47.2757,47.2757,47.2757
774-1,1,2,3,4,5,56.9438,113.888,170.831,227.775,284.719,18.0825,18.0825,18.0825,18.0825,18.0825
775-1,1,2,3,4,5,35.8289,71.6578,107.487,143.316,179.145,14.4225,14.4225,14.4225,14.4225,14.4225
776-1,1,2,3,4,5,44.3685,88.737,133.106,177.474,221.843,17.1269,17.1269,17.1269,17.1269,17.1269
777-1,1,2,3,4,5,37.6593,75.3186,112.978,150.637,188.297,18.792,18.792,18.792,18.792,18.792
778-1,1,2,3,4,5,19.829,39.6581,59.4871,79.3161,99.1452,10.6212,10.6212,10.6212,10.6212,10.6212
779-1,1,2,3,4,5,37.156,74.3121,111.468,148.624,185.78,36.2291,36.2291,36.2291,36.2291,36.2291
780-1,1,2,3,4,5,48.1472,96.2945,144.442,192.589,240.736,20.779,20.779,20.779,20.779,20.779
781-1,1,2,3,4,5,42.465,84.9301,127.395,169.86,212.325,16.7662,16.7662,16.7662,16.7662,16.7662
782-1,1,2,3,4,5,41.7238,83.4477,125.171,166.895,208.619,30.3376,30.3376,30.3376,30.3376,30.3376
783-1,1,2,3,4,5,27.8453,55.6906,83.5359,111.381,139.226,6.21287,6.21287,6.21287,6.21287,6.21287
784-1,1,2,3,4,5,62.1899,124.38,186.57,248.76,310.949,8.10573,8.10573,8.10573,8.10573,8.10573
785-1,1,2,3,4,5,22.8645,45.729,68.5935,91.458,114.322,27.7995,27.7995,27.7995,27.7995,27.7995
786-1,1,2,3,4,5,11.6062,23.2125,34.8187,46.425,58.0312,20.8631,20.8631,20.8631,20.8631,20.8631
787-1,1,2,3,4,5,39.5688,79.1375,118.706,158.275,197.844,52.2634,52.2634,52.2634,52.2634,52.2634
788-1,1,2,3,4,5,23.0055,46.0109,69.0164,92.0218,115.027,149.062,149.062,149.062,149.062,149.062
789-1,1,2,3,4,5,17.6291,35.2582,52.8873,70.5164,88.1456,2.75423,2.75423,2.75423,2.75423,2.75423
790-1,1,2,3,4,5,82.996,165.992,248.988,331.984,414.98,6.69124,6.69124,6.69124,6.69124,6.69124
791-1,1,2,3,4,5,18.2456,36.4912,54.7368,72.9823,91.2279,70.2768,70.2768,70.2768,70.2768,70.2768
792-1,1,2,3,4,5,10.2784,20.5567,30.8351,41.1134,51.3918,12.1485,12.1485,12.1485,12.1485,12.1485
793-1,1,2,3,4,5,23.3258,46.6516,69.9774,93.3032,116.629,22.4159,22.4159,22.4159,22.4159,22.4159
794-1,1,2,3,4,5,56.2521,112.504,168.756,225.008,281.261,39.3553,39.3553,39.3553,39.3553,39.3553
795-1,1,2,3,4,5,28.9468,57.8936,86.8404,115.787,144.734,15.4267,15.4267,15.4267,15.4267,15.4267
796-1,1,2,3,4,5,32.8055,65.6109,98.4164,131.222,164.027,8.05262,8.05262,8.05262,8.05262,8.05262
797-1,1,2,3,4,5,27.3469,54.6938,82.0407,109.388,136.734,12.2325,12.2325,12.2325,12.2325,12.2325
798-1,1,2,3,4,5,32.561,65.122,97.6831,130.244,162.805,20.4056,20.4056,20.4056,20.4056,20.4056
799-1,1,2,3,4,5,41.9388,83.8775,125.816,167.755,209.694,27.1389,27.1389,27.1389,27.1389,27.1389
800-1,1,2,3,4,5,23.8574,47.7147,71.5721,95.4294,119.287,38.8583,38.8583,38.8583,38.8583,38.8583
801-1,1,2,3,4,5,32.8785,65.757,98.6356,131.514,164.393,18.4305,18.4305,18.4305,18.4305,18.4305
802-1,1,2,3,4,5,44.9604,89.9208,134.881,179.842,224.802,9.87512,9.87512,9.87512,9.87512,9.87512
803-1,1,2,3,4,5,23.5026,47.0053,70.5079,94.0106,117.513,21.9115,21.9115,21.9115,21.9115,21.9115
804-1,1,2,3,4,5,55.4745,110.949,166.424,221.898,277.373,49.578,49.578,49.578,49.578,49.578
805-1,1,2,3,4,5,46.1501,92.3002,138.45,184.6,230.751,97.4385,97.4385,97.4385,97.4385,97.4385
806-1,1,2,3,4,5,20.1361,40.2723,60.4084,80.5445,100.681,45.8247,45.8247,45.8247,45.8247,45.8247
807-1,1,2,3,4,5,55.4575,110.915,166.373,221.83,277.288,33.6658,33.6658,33.6658,33.6658,33.6658
808-1,1,2,3,4,5,16.2301,32.4601,48.6902,64.9203,81.1503,70.5054,70.5054,70.5054,70.5054,70.5054
809-1,1,2,3,4,5,33.2115,66.423,99.6345,132.846,166.057,11.7043,11.7043,11.7043,11.7043,11.7043
810-1,1,2,3,4,5,56.5459,113.092,169.638,226.183,282.729,17.0604,17.0604,17.0604,17.0604,17.0604
811-1,1,2,3,4,5,38.2663,76.5327,114.799,153.065,191.332,16.8644,16.8644,16.8644,16.8644,16.8644
812-1,1,2,3,4,5,19.5036,39.0072,58.5109,78.0145,97.5181,22.284,22.284,22.284,22.284,22.284
813-1,1,2,3,4,5,48.6419,97.2839,145.926,194.568,243.21,15.8303,15.8303,15.8303,15.8303,15.8303
814-1,1,2,3,4,5,21.7489,43.4978,65.2467,86.9955,108.744,13.64,13.64,13.64,13.64,13.64
815-1,1,2,3,4,5,27.5559,55.1117,82.6676,110.223,137.779,6.26034,6.26034,6.26034,6.26034,6.26034
816-1,1,2,3,4,5,53.0159,106.032,159.048,212.064,265.08,14.2081,14.2081,14.2081,14.2081,14.2081
817-1,1,2,3,4,5,1.46377,2.92755,4.39132,5.85509,7.31886,1.44023,1.44023,1.44023,1.44023,1.44023
818-1,1,2,3,4,5,27.7005,55.4009,83.1014,110.802,138.502,3.84658,3.84658,3.84658,3.84658,3.84658
819-1,1,2,3,4,5,38.521,77.042,115.563,154.084,192.605,32.8314,32.8314,32.8314,32.8314,32.8314
820-1,1,2,3,4,5,115.668,231.335,347.003,462.671,578.338,23.0365,23.0365,23.0365,23.0365,23.0365
821-1,1,2,3,4,5,60.296,120.592,180.888,241.184,301.48,19.0912,19.0912,19.0912,19.0912,19.0912
822-1,1,2,3,4,5,50.9044,101.809,152.713,203.617,254.522,20.3844,20.3844,20.3844,20.3844,20.3844
823-1,1,2,3,4,5,18.3246,36.6493,54.9739,73.2985,91.6232,27.7789,27.7789,27.7789,27.7789,27.7789
824-1,1,2,3,4,5,64.3748,128.75,193.124,257.499,321.874,13.6342,13.6342,13.6342,13.6342,13.6342
825-1,1,2,3,4,5,39.5044,79.0089,118.513,158.018,197.522,13.2986,13.2986,13.2986,13.2986,13.2986
826-1,1,2,3,4,5,58.1311,116.262,174.393,232.525,290.656,27.6201,27.6201,27.6201,27.6201,27.6201
827-1,1,2,3,4,5,48.5169,97.0338,145.551,194.068,242.584,35.3989,35.3989,35.3989,35.3989,35.3989
828-1,1,2,3,4,5,39.0785,78.157,117.236,156.314,195.393,29.5838,29.5838,29.5838,29.5838,29.5838
829-1,1,2,3,4,5,51.2134,102.427,153.64,204.854,256.067,9.67807,9.67807,9.67807,9.67807,9.67807
830-1,1,2,3,4,5,42.9658,85.9315,128.897,171.863,214.829,77.1681,77.1681,77.1681,77.1681,77.1681
831-1,1,2,3,4,5,5.18995,10.3799,15.5699,20.7598,25.9498,5.04896,5.04896,5.04896,5.04896,5.04896
832-1,1,2,3,4,5,32.8356,65.6711,98.5067,131.342,164.178,60.3334,60.3334,60.3334,60.3334,60.3334
833-1,1,2,3,4,5,38.4269,76.8538,115.281,153.708,192.135,112.53,112.53,112.53,112.53,112.53
834-1,1,2,3,4,5,38.1866,76.3732,114.56,152.746,190.933,15.3199,15.3199,15.3199,15.3199,15.3199
835-1,1,2,3,4,5,18.344,36.688,55.032,73.3759,91.7199,13.3024,13.3024,13.3024,13.3024,13.3024
836-1,1,2,3,4,5,24.446,48.8921,73.3381,97.7842,122.23,6.80638,6.80638,6.80638,6.80638,6.80638
837-1,1,2,3,4,5,16.4907,32.9814,49.4722,65.9629,82.4536,21.4387,21.4387,21.4387,21.4387,21.4387
838-1,1,2,3,4,5,28.0255,56.0511,84.0766,112.102,140.128,14.3351,14.3351,14.3351,14.3351,14.3351
839-1,1,2,3,4,5,52.6972,105.394,158.092,210.789,263.486,41.1177,41.1177,41.1177,41.1177,41.1177
840-1,1,2,3,4,5,61.5693,123.139,184.708,246.277,307.847,9.48779,9.48779,9.48779,9.48779,9.48779
841-1,1,2,3,4,5,36.1351,72.2703,108.405,144.541,180.676,31.4245,31.4245,31.4245,31.4245,31.4245
842-1,1,2,3,4,5,29.3719,58.7438,88.1157,117.488,146.859,83.1159,83.1159,83.1159,83.1159,83.1159
843-1,1,2,3,4,5,42.7694,85.5387,128.308,171.077,213.847,37.8542,37.8542,37.8542,37.8542,37.8542
844-1,1,2,3,4,5,50.2018,100.404,150.605,200.807,251.009,114.688,114.688,114.688,114.688,114.688
845-1,1,2,3,4,5,19.0727,38.1454,57.2181,76.2907,95.3634,18.836,18.836,18.836,18.836,18.836
846-1,1,2,3,4,5,34.8356,69.6711,104.507,139.342,174.178,53.3929,53.3929,53.3929,53.3929,53.3929
847-1,1,2,3,4,5,18.027,36.054,54.081,72.108,90.135,48.7574,48.7574,48.7574,48.7574,48.7574
848-1,1,2,3,4,5,49.1786,98.3573,147.536,196.715,245.893,7.86986,7.86986,7.86986,7.86986,7.86986
849-1,1,2,3,4,5,72.0377,144.075,216.113,288.151,360.188,29.73,29.73,29.73,29.73,29.73
850-1,1,2,3,4,5,19.272,38.5441,57.8161,77.0882,96.3602,13.9733,13.9733,13.9733,13.9733,13.9733
851-1,1,2,3,4,5,32.8801,65.7601,98.6402,131.52,164.4,29.4965,29.4965,29.4965,29.4965,29.4965
852-1,1,2,3,4,5,25.1897,50.3795,75.5692,100.759,125.949,9.70762,9.70762,9.70762,9.70762,9.70762
853-1,1,2,3,4,5,28.4354,56.8708,85.3061,113.742,142.177,44.6442,44.6442,44.6442,44.6442,44.6442
854-1,1,2,3,4,5,21.3249,42.6498,63.9747,85.2996,106.624,23.7946,23.7946,23.7946,23.7946,23.7946
855-1,1,2,3,4,5,30.5932,61.1864,91.7796,122.373,152.966,31.6989,31.6989,31.6989,31.6989,31.6989
856-1,1,2,3,4,5,20.9694,41.9388,62.9082,83.8776,104.847,19.9498,19.9498,19.9498,19.9498,19.9498
857-1,1,2,3,4,5,94.1043,188.209,282.313,376.417,470.522,25.606,25.606,25.606,25.606,25.606
858-1,1,2,3,4,5,42.0066,84.0133,126.02,168.027,210.033,14.2882,14.2882,14.2882,14.2882,14.2882
859-1,1,2,3,4,5,1.15378,2.30756,3.46134,4.61512,5.7689,52.613,52.613,52.613,52.613,52.613
860-1,1,2,3,4,5,49.3469,98.6938,148.041,197.388,246.735,26.9693,26.9693,26.9693,26.9693,26.9693
861-1,1,2,3,4,5,31.4273,62.8545,94.2818,125.709,157.136,8.82887,8.82887,8.82887,8.82887,8.82887
862-1,1,2,3,4,5,55.219,110.438,165.657,220.876,276.095,39.1321,39.1321,39.1321,39.1321,39.1321
863-1,1,2,3,4,5,15.2357,30.4715,45.7072,60.9429,76.1786,14.8288,14.8288,14.8288,14.8288,14.8288
864-1,1,2,3,4,5,55.5494,111.099,166.648,222.198,277.747,9.27539,9.27539,9.27539,9.27539,9.27539
865-1,1,2,3,4,5,37.6738,75.3475,113.021,150.695,188.369,45.7053,45.7053,45.7053,45.7053,45.7053
866-1,1,2,3,4,5,19.114,38.2279,57.3419,76.4559,95.5698,5.92746,5.92746,5.92746,5.92746,5.92746
867-1,1,2,3,4,5,56.0844,112.169,168.253,224.337,280.422,7.03656,7.03656,7.03656,7.03656,7.03656
868-1,1,2,3,4,5,54.5574,109.115,163.672,218.23,272.787,8.20923,8.20923,8.20923,8.20923,8.20923
869-1,1,2,3,4,5,44.1231,88.2461,132.369,176.492,220.615,8.85965,8.85965,8.85965,8.85965,8.85965
870-1,1,2,3,4,5,38.972,77.944,116.916,155.888,194.86,73.2928,73.2928,73.2928,73.2928,73.2928
871-1,1,2,3,4,5,28.3645,56.7291,85.0936,113.458,141.823,7.56607,7.56607,7.56607,7.56607,7.56607
872-1,1,2,3,4,5,85.3444,170.689,256.033,341.378,426.722,6.63004,6.63004,6.63004,6.63004,6.63004
873-1,1,2,3,4,5,33.3323,66.6646,99.9969,133.329,166.661,67.2193,67.2193,67.2193,67.2193,67.2193
874-1,1,2,3,4,5,81.7533,163.507,245.26,327.013,408.767,108.167,108.167,108.167,108.167,108.167
875-1,1,2,3,4,5,35.4912,70.9825,106.474,141.965,177.456,8.85575,8.85575,8.85575,8.85575,8.85575
876-1,1,2,3,4,5,26.069,52.1381,78.2071,104.276,130.345,13.97,13.97,13.97,13.97,13.97
877-1,1,2,3,4,5,20.241,40.4819,60.7229,80.9638,101.205,6.79601,6.79601,6.79601,6.79601,6.79601
878-1,1,2,3,4,5,32.8778,65.7557,98.6335,131.511,164.389,21.0481,21.0481,21.0481,21.0481,21.0481
879-1,1,2,3,4,5,56.3357,112.671,169.007,225.343,281.678,39.6046,39.6046,39.6046,39.6046,39.6046
880-1,1,2,3,4,5,37.4802,74.9605,112.441,149.921,187.401,13.6859,13.6859,13.6859,13.6859,13.6859
881-1,1,2,3,4,5,25.013,50.026,75.039,100.052,125.065,37.2765,37.2765,37.2765,37.2765,37.2765
882-1,1,2,3,4,5,41.9091,83.8183,125.727,167.637,209.546,30.554,30.554,30.554,30.554,30.554
883-1,1,2,3,4,5,36.3169,72.6338,108.951,145.268,181.585,55.0975,55.0975,55.0975,55.0975,55.0975
884-1,1,2,3,4,5,26.5367,53.0735,79.6102,106.147,132.684,9.11052,9.11052,9.11052,9.11052,9.11052
885-1,1,2,3,4,5,2.56406,5.12812,7.69218,10.2562,12.8203,28.3652,28.3652,28.3652,28.3652,28.3652
886-1,1,2,3,4,5,69.6888,139.378,209.066,278.755,348.444,34.9542,34.9542,34.9542,34.9542,34.9542
887-1,1,2,3,4,5,46.6314,93.2628,139.894,186.526,233.157,15.8083,15.8083,15.8083,15.8083,15.8083
888-1,1,2,3,4,5,22.6277,45.2555,67.8832,90.5109,113.139,90.5118,90.5118,90.5118,90.5118,90.5118
889-1,1,2,3,4,5,39.7931,79.5861,119.379,159.172,198.965,48.6146,48.6146,48.6146,48.6146,48.6146
890-1,1,2,3,4,5,49.9504,99.9008,149.851,199.802,249.752,53.7493,53.7493,53.7493,53.7493,53.7493
891-1,1,2,3,4,5,16.0196,32.0391,48.0587,64.0782,80.0978,9.97681,9.97681,9.97681,9.97681,9.97681
892-1,1,2,3,4,5,61.1587,122.317,183.476,244.635,305.794,72.6005,72.6005,72.6005,72.6005,72.6005
893-1,1,2,3,4,5,36.1954,72.3908,108.586,144.782,180.977,15.984,15.984,15.984,15.984,15.984
894-1,1,2,3,4,5,58.3952,116.79,175.185,233.581,291.976,26.9604,26.9604,26.9604,26.9604,26.9604
895-1,1,2,3,4,5,37.2121,74.4242,111.636,148.848,186.061,28.9183,28.9183,28.9183,28.9183,28.9183
896-1,1,2,3,4,5,54.4412,108.882,163.324,217.765,272.206,14.5874,14.5874,14.5874,14.5874,14.5874
897-1,1,2,3,4,5,32.2534,64.5067,96.7601,129.013,161.267,15.1171,15.1171,15.1171,15.1171,15.1171
898-1,1,2,3,4,5,47.6128,95.2257,142.838,190.451,238.064,13.1637,13.1637,13.1637,13.1637,13.1637
899-1,1,2,3,4,5,33.9049,67.8098,101.715,135.62,169.524,40.312,40.312,40.312,40.312,40.312
900-1,1,2,3,4,5,46.9538,93.9075,140.861,187.815,234.769,37.1418,37.1418,37.1418,37.1418,37.1418
901-1,1,2,3,4,5,58.9716,117.943,176.915,235.886,294.858,34.6576,34.6576,34.6576,34.6576,34.6576
902-1,1,2,3,4,5,36.1533,72.3067,108.46,144.613,180.767,18.4488,18.4488,18.4488,18.4488,18.4488
903-1,1,2,3,4,5,22.3476,44.6951,67.0427,89.3903,111.738,27.1524,27.1524,27.1524,27.1524,27.1524
904-1,1,2,3,4,5,45.5551,91.1101,136.665,182.22,227.775,10.1247,10.1247,10.1247,10.1247,10.1247
905-1,1,2,3,4,5,22.6854,45.3709,68.0563,90.7417,113.427,54.5867,54.5867,54.5867,54.5867,54.5867
906-1,1,2,3,4,5,28.022,56.044,84.066,112.088,140.11,12.2993,12.2993,12.2993,12.2993,12.2993
907-1,1,2,3,4,5,25.9493,51.8986,77.8479,103.797,129.747,45.1002,45.1002,45.1002,45.1002,45.1002
908-1,1,2,3,4,5,45.2197,90.4394,135.659,180.879,226.099,29.5427,29.5427,29.5427,29.5427,29.5427
909-1,1,2,3,4,5,51.5768,103.154,154.73,206.307,257.884,77.0953,77.0953,77.0953,77.0953,77.0953
910-1,1,2,3,4,5,42.5193,85.0387,127.558,170.077,212.597,13.0749,13.0749,13.0749,13.0749,13.0749
911-1,1,2,3,4,5,37.751,75.5021,113.253,151.004,188.755,71.9948,71.9948,71.9948,71.9948,71.9948
912-1,1,2,3,4,5,32.3858,64.7717,97.1575,129.543,161.929,31.4328,31.4328,31.4328,31.4328,31.4328
913-1,1,2,3,4,5,41.8138,83.6276,125.441,167.255,209.069,25.4533,25.4533,25.4533,25.4533,25.4533
914-1,1,2,3,4,5,38.7153,77.4306,116.146,154.861,193.577,40.4936,40.4936,40.4936,40.4936,40.4936
915-1,1,2,3,4,5,26.5607,53.1214,79.6821,106.243,132.803,40.5308,40.5308,40.5308,40.5308,40.5308
916-1,1,2,3,4,5,40.9186,81.8373,122.756,163.675,204.593,17.5321,17.5321,17.5321,17.5321,17.5321
917-1,1,2,3,4,5,33.1197,66.2393,99.359,132.479,165.598,8.14782,8.14782,8.14782,8.14782,8.14782
918-1,1,2,3,4,5,37.3627,74.7255,112.088,149.451,186.814,71.971,71.971,71.971,71.971,71.971
919-1,1,2,3,4,5,44.6092,89.2184,133.828,178.437,223.046,34.7794,34.7794,34.7794,34.7794,34.7794
920-1,1,2,3,4,5,66.2189,132.438,198.657,264.875,331.094,36.5738,36.5738,36.5738,36.5738,36.5738
921-1,1,2,3,4,5,30.5391,61.0781,91.6172,122.156,152.695,25.9167,25.9167,25.9167,25.9167,25.9167
922-1,1,2,3,4,5,30.0738,60.1477,90.2215,120.295,150.369,16.8264,16.8264,16.8264,16.8264,16.8264
923-1,1,2,3,4,5,60.175,120.35,180.525,240.7,300.875,16.0167,16.0167,16.0167,16.0167,16.0167
924-1,1,2,3,4,5,28.864,57.728,86.592,115.456,144.32,29.8125,29.8125,29.8125,29.8125,29.8125
925-1,1,2,3,4,5,16.6777,33.3555,50.0332,66.711,83.3887,8.72692,8.72692,8.72692,8.72692,8.72692
926-1,1,2,3,4,5,34.6314,69.2627,103.894,138.525,173.157,17.5612,17.5612,17.5612,17.5612,17.5612
927-1,1,2,3,4,5,35.9425,71.885,107.827,143.77,179.712,15.4938,15.4938,15.4938,15.4938,15.4938
928-1,1,2,3,4,5,42.3537,84.7074,127.061,169.415,211.769,5.54018,5.54018,5.54018,5.54018,5.54018
929-1,1,2,3,4,5,35.8902,71.7804,107.671,143.561,179.451,9.12352,9.12352,9.12352,9.12352,9.12352
930-1,1,2,3,4,5,45.8263,91.6526,137.479,183.305,229.132,19.6359,19.6359,19.6359,19.6359,19.6359
931-1,1,2,3,4,5,29.5178,59.0356,88.5533,118.071,147.589,23.9425,23.9425,23.9425,23.9425,23.9425
932-1,1,2,3,4,5,39.9595,79.919,119.878,159.838,199.797,27.829,27.829,27.829,27.829,27.829
933-1,1,2,3,4,5,20.5422,41.0844,61.6266,82.1688,102.711,6.97225,6.97225,6.97225,6.97225,6.97225
934-1,1,2,3,4,5,58.3294,116.659,174.988,233.317,291.647,10.6866,10.6866,10.6866,10.6866,10.6866
935-1,1,2,3,4,5,48.7737,97.5474,146.321,195.095,243.868,27.7936,27.7936,27.7936,27.7936,27.7936
936-1,1,2,3,4,5,46.451,92.9021,139.353,185.804,232.255,27.0961,27.0961,27.0961,27.0961,27.0961
937-1,1,2,3,4,5,54.9981,109.996,164.994,219.992,274.99,24.4999,24.4999,24.4999,24.4999,24.4999
938-1,1,2,3,4,5,36.6452,73.2903,109.936,146.581,183.226,45.2993,45.2993,45.2993,45.2993,45.2993
939-1,1,2,3,4,5,17.7834,35.5668,53.3503,71.1337,88.9171,15.2276,15.2276,15.2276,15.2276,15.2276
940-1,1,2,3,4,5,52.8566,105.713,158.57,211.427,264.283,84.564,84.564,84.564,84.564,84.564
941-1,1,2,3,4,5,59.2391,118.478,177.717,236.956,296.195,26.2761,26.2761,26.2761,26.2761,26.2761
942-1,1,2,3,4,5,60.0928,120.186,180.278,240.371,300.464,34.2268,34.2268,34.2268,34.2268,34.2268
943-1,1,2,3,4,5,25.524,51.048,76.5721,102.096,127.62,10.8568,10.8568,10.8568,10.8568,10.8568
944-1,1,2,3,4,5,47.7828,95.5656,143.348,191.131,238.914,19.3001,19.3001,19.3001,19.3001,19.3001
945-1,1,2,3,4,5,34.7998,69.5997,104.399,139.199,173.999,20.1587,20.1587,20.1587,20.1587,20.1587
946-1,1,2,3,4,5,43.0946,86.1893,129.284,172.379,215.473,16.7523,16.7523,16.7523,16.7523,16.7523
947-1,1,2,3,4,5,14.5679,29.1359,43.7038,58.2718,72.8397,23.8174,23.8174,23.8174,23.8174,23.8174
948-1,1,2,3,4,5,30.7681,61.5362,92.3043,123.072,153.84,13.1624,13.1624,13.1624,13.1624,13.1624
949-1,1,2,3,4,5,48.1904,96.3808,144.571,192.762,240.952,6.92449,6.92449,6.92449,6.92449,6.92449
950-1,1,2,3,4,5,38.9651,77.9302,116.895,155.86,194.826,13.8569,13.8569,13.8569,13.8569,13.8569
951-1,1,2,3,4,5,29.2767,58.5535,87.8302,117.107,146.384,42.6302,42.6302,42.6302,42.6302,42.6302
952-1,1,2,3,4,5,60.1486,120.297,180.446,240.594,300.743,19.1303,19.1303,19.1303,19.1303,19.1303
953-1,1,2,3,4,5,52.9009,105.802,158.703,211.604,264.505,66.7069,66.7069,66.7069,66.7069,66.7069
954-1,1,2,3,4,5,42.5472,85.0944,127.642,170.189,212.736,57.2659,57.2659,57.2659,57.2659,57.2659
955-1,1,2,3,4,5,20.6044,41.2088,61.8132,82.4176,103.022,36.9949,36.9949,36.9949,36.9949,36.9949
956-1,1,2,3,4,5,20.8718,41.7436,62.6154,83.4872,104.359,11.4561,11.4561,11.4561,11.4561,11.4561
957-1,1,2,3,4,5,46.1437,92.2875,138.431,184.575,230.719,24.0068,24.0068,24.0068,24.0068,24.0068
958-1,1,2,3,4,5,23.7926,47.5851,71.3777,95.1703,118.963,2.92473,2.92473,2.92473,2.92473,2.92473
959-1,1,2,3,4,5,47.2051,94.4102,141.615,188.82,236.025,24.8086,24.8086,24.8086,24.8086,24.8086
960-1,1,2,3,4,5,27.4877,54.9755,82.4632,109.951,137.439,17.1837,17.1837,17.1837,17.1837,17.1837
961-1,1,2,3,4,5,36.4392,72.8783,109.318,145.757,182.196,29.6348,29.6348,29.6348,29.6348,29.6348
962-1,1,2,3,4,5,44.8375,89.675,134.513,179.35,224.188,45.7425,45.7425,45.7425,45.7425,45.7425
